code,name_en,name_short_en,name_es,name_short_es,continent_code,total_export
GAB,Gabon,Gabon,Gabonesa (Republica),Gabonesa,1,12744346
GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom,Reino Unido De La Gran Bretaña E Irlanda Del Norte,Reino Unido,4,15644216320
GEO,Georgia,Georgia,Georgia (Republica De),Georgia,2,34554568
GHA,Ghana,Ghana,Ghana (Republica De),Ghana,1,52261900
GIB,Gibraltar,Gibraltar,Gibraltar (R.U.),Gibraltar,4,3216656
GIN,Guinea,Guinea,Guinea (Republica De),Guinea,1,7086692
GLP,Guadeloupe,Guadeloupe,Guadalupe (Departamento De),Guadalupe,8,10856444
GMB,Gambia,Gambia,Gambia (Republica De La),Gambia ,1,657217.8125
GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau (Republica De),Guinea-Bissau,1,797433.5
GNQ,Equatorial Guinea,Equatorial Guinea,Guinea Ecuatorial (Republica De),Guinea Ecuatorial,1,21101692
GRC,Greece,Greece,Grecia (Republica Helenica),Grecia,4,506906272
GRD,Grenada,Grenada,Granada,Granada,8,10448107
GRL,Greenland,Greenland,Groenlandia (Dinamarca),Groenlandia,5,69054.73438
GTM,Guatemala,Guatemala,Guatemala (Republica De),Guatemala,7,13171058688
GUF,French Guiana,French Guiana,Guyana Francesa,Guyana Francesa,6,14393169
GUM,Guam,Guam,Guam (E.U.A.),Guam,3,7720632
GUY,Guyana,Guyana,Guyana (Republica Cooperativa De),Guyana,6,69390808
GZA,Gaza Strip,Gaza Strip,Franja De Gaza,Franja De Gaza,2,74363.5
HKG,Hong Kong,Hong Kong,Hong Kong (Region Administrativa Especial De La Republica),Hong Kong,2,5318760448
HND,Honduras,Honduras,Honduras (Republica De),Honduras,7,3950729472
HRV,Croatia,Croatia,Croacia (Republica De),Croacia ,4,245473424
HTI,Haiti,Haiti,Haiti (Republica De),Haiti ,8,328801984
HUN,Hungary,Hungary,Hungria (Republica De),Hungria ,4,3398463232
IDN,Indonesia,Indonesia,Indonesia (Republica De),Indonesia ,2,986028480
IND,India,India,India (Republica De),India ,2,17835796480
IRL,Ireland,Ireland,Irlanda (Republica De),Irlanda ,4,3155505664
IRN,Iran (Islamic Republic of),Iran ,Iran (Republica Islamica Del),Iran,2,40433504
IRQ,Iraq,Iraq,Irak (Republica De),Irak ,2,178235536
ISL,Iceland,Iceland,Islandia (Republica De),Islandia ,4,49172600
ISR,Israel,Israel,Israel (Estado De),Israel,2,1221200384
ITA,Italy,Italy,Italia (Republica Italiana),Italia,4,7973474816
JAM,Jamaica,Jamaica,Jamaica,Jamaica,8,1332072448
JOR,Jordan,Jordan,Jordania (Reino Hachemita De),Jordania,2,113032944
JPN,Japan,Japan,Japon,Japon,2,19518414848
KAZ,Kazakhstan,Kazakhstan,Kazakhstan (Republica De),Kazakhstan ,2,412567552
KCD,Undeclared Countries,Undeclared Countries,Paises No Declarados,Paises No Declarados,9,767141248
KEN,Kenya,Kenya,Kenya (Republica De),Kenya ,1,30401392
KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan (Republica Kirgyzia),Kyrgyzstan,2,641428.875
KHM,Cambodia,Cambodia,Camboya (Reino De),Camboya,2,2891170
KIR,Kiribati,Kiribati,Kiribati (Republica De),Kiribati ,3,1170.968384
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,San Cristobal Y Nieves (Federacion De) (San Kitts-Nevis),San Cristobal y Nieves (San Kitts-Nevis),8,7230830
KOR,Korea (Republic of),South Korean,Corea (Republica De) (Corea Del Sur),Corea Del Sur,2,11187010560
KWT,Kuwait,Kuwait,Kuwait (Estado De),Kuwait,2,364061152
LAO,Lao People's Democratic Republic,Laos,Republica Democratica Popular Laos,Laos,2,1979637.875
LBN,Lebanon,Lebanon,Libano (Republica De),Libano,2,106054712
LBR,Liberia,Liberia,Liberia (Republica De),Liberia ,1,516793856
LBY,Libya,Libya,Libia (Jamahiriya Libia Arabe Popular Socialista),Libia,1,257272976
LCA,Saint Lucia,Saint Lucia,Santa Lucia,Santa Lucia,8,19575524
LHM,Heard Island and McDonald Islands,Heard and McDonald Islands,Islas Heard Y Mcdonald,Islas Heard Y Mcdonald,9,
LIE,Liechtenstein,Liechtenstein,Liechtenstein (Principado De),Liechtenstein,4,13691270
LKA,Sri Lanka,Sri Lanka,Sri Lanka (Republica Democratica Socialista De),Sri Lanka,2,48456756
LSO,Lesotho,Lesotho,Lesotho (Reino De),Lesotho,1,233414.6875
LTU,Lithuania,Lithuania,Lituania (Republica De),Lituania ,4,388494336
LUX,Luxembourg,Luxembourg,Luxemburgo (Gran Ducado De),Luxemburgo,4,343122336
LVA,Latvia,Latvia,Letonia (Republica De),Letonia ,4,186259312
MAC,Macao,Macao,Macao,Macao,2,9892728
MAR,Morocco,Morocco,Marruecos (Reino De),Marruecos,1,226893168
MCO,Monaco,Monaco,Monaco (Principado De),Monaco,4,9905041
MDA,Moldova (Republic of),Moldova,Moldavia (Republica De),Moldavia ,4,966513.8125
MDG,Madagascar,Madagascar,Madagascar (Republica De),Madagascar ,1,8449213
MDV,Maldives,Maldives,Maldivas (Republica De),Maldivas ,2,1092666.375
MEX,Mexico ,Mexico ,Mexico (Estados Unidos Mexicanos),Mexico,7,
MHL,Marshall Islands,Marshall Islands,Islas Marshall,Islas Marshall,3,126490128
MKD,Macedonia (the former Yugoslav Republic of),Macedonia,Macedonia (Antigua Republica Yugoslava De),Macedonia,4,2371891.75
MLI,Mali,Mali,Mali (Republica De),Mali ,1,6575907
MLT,Malta,Malta,Malta (Republica De),Malta ,4,63229424
MMR,Myanmar,Myanmar,Myanmar (Union De),Myanmar,2,11165808
MNE,Montenegro,Montenegro,Montenegro,Montenegro,4,1086131.375
MNG,Mongolia,Mongolia,Mongolia,Mongolia,2,15508302
MNP,Northern Mariana Islands,Northern Mariana Islands,Islas Marianas Septentrionales,Islas Marianas Septentrionales,3,231930.1719
MOZ,Mozambique,Mozambique,Mozambique (Republica De),Mozambique ,1,11033635
MRT,Mauritania,Mauritania,Mauritania (Republica Islamica De),Mauritania,1,11079328
MSR,Montserrat,Montserrat,Monserrat (Isla),Monserrat,8,1883.717285
MTQ,Martinique,Martinique,Martinica (Departamento De) (Francia),Martinica,8,30871674
MUS,Mauritius,Mauritius,Mauricio (Republica De),Mauricio ,1,3541937.75
MWI,Malawi,Malawi,Malawi (Republica De),Malawi ,1,348152.5
MYS,Malaysia,Malaysia,Malasia,Malasia,2,1516658688
NAM,Namibia,Namibia,Namibia (Republica De),Namibia ,1,3488164.25
NCL,New Caledonia,New Caledonia,Nueva Caledonia (Territorio Frances De Ultramar),Nueva Caledonia,3,9915685
NER,Niger,Niger,Niger (Republica De),Niger ,1,5216293
NFK,Norfolk Island,Norfolk Island,Norfolk (Isla),Norfolk (Isla),3,4292.859863
NGA,Nigeria,Nigeria,Nigeria (Republica Federal De),Nigeria,1,291268864
NIC,Nicaragua,Nicaragua,Nicaragua (Republica De),Nicaragua ,7,5656039424
NIU,Niue,Niue,Nive (Isla),Nive (Isla),3,1050157.125
NOR,Norway,Norway,Noruega (Reino De),Noruega,4,1973474176
NPL,Nepal,Nepal,Nepal (Reino De),Nepal (Reino De),2,626656.625
