code	level	name_en	name_short_en	name_es	name_short_es
5242	class	Services related to insurance and surety	Services related to insurance and surety	Servicios relacionados con los seguros y las fianzas	Servicios relacionados con los seguros y las fianzas
5311	class	Rental of real estate without intermediation	Rental of real estate without intermediation	Alquiler sin intermediacion de bienes raices	Alquiler sin intermediacion de bienes raices
5312	class	Real estate agencies and brokers	Real estate agencies and brokers	Inmobiliarias y corredores de bienes raices	Inmobiliarias y corredores de bienes raices
5313	class	Services related to real estate	Services related to real estate	Servicios relacionados con los servicios inmobiliarios	Servicios relacionados con los servicios inmobiliarios
5321	class	Rental of automobiles, trucks and other road transportation vehicles	Rental of automobiles, trucks and other road transportation vehicles	Alquiler de automoviles, camiones y otros transportes terrestres	Alquiler de automoviles, camiones y otros transportes terrestres
5322	class	Rental of household and personal goods	Rental of household and personal goods	Alquiler de articulos para el hogar y personales	Alquiler de articulos para el hogar y personales
5323	class	General rental centers	General rental centers	Centros generales de alquiler	Centros generales de alquiler
5324	class	Rental of agricultural, fishing, industrial, commercial and services machinery and equipment	Rental of agricultural, fishing, industrial, commercial and services machinery and equipment	Alquiler de maquinaria y equipo agropecuario, pesquero, industrial, comercial y de servicios	Alquiler de maquinaria y equipo agropecuario, pesquero, industrial, comercial y de servicios
5331	class	Rental services of trademarks, patents and franchises	Rental services of trademarks, patents and franchises	Servicios de alquiler de marcas registradas, patentes y franquicias	Servicios de alquiler de marcas registradas, patentes y franquicias
5411	class	Legal services	Legal services	Servicios legales	Servicios legales
5412	class	Accounting, auditing and related services	Accounting, auditing and related services	Servicios de contabilidad, auditoria y servicios relacionados	Servicios de contabilidad, auditoria y servicios relacionados
5413	class	Architecture, engineering and related activities services	Architecture, engineering and related activities services	Servicios de arquitectura, ingenieria y actividades relacionadas	Servicios de arquitectura, ingenieria y actividades relacionadas
5414	class	Specialized design	Specialized design	Diseno especializado	Diseno especializado
5415	class	Computer systems design and related services	Computer systems design and related services	Servicios de diseno de sistemas de computo y servicios relacionados	Servicios de diseno de sistemas de computo y servicios relacionados
5416	class	Management, scientific and technical consulting services	Management, scientific and technical consulting services	Servicios de consultoria administrativa, cientifica y tecnica	Servicios de consultoria administrativa, cientifica y tecnica
5417	class	Scientific research and development services	Scientific research and development services	Servicios de investigacion cientifica y desarrollo	Servicios de investigacion cientifica y desarrollo
5418	class	Advertising services and related activities	Advertising services and related activities	Servicios de publicidad y actividades relacionadas	Servicios de publicidad y actividades relacionadas
5419	class	Other professional, scientific and technical services	Other professional, scientific and technical services	Otros servicios profesionales, cientificos y tecnicos	Otros servicios profesionales, cientificos y tecnicos
5511	class	Head offices	Head offices	Corporativos	Corporativos
