major_group_code	minor_group_code	broad_occupation_code	detailed_occupation_code	name_en_major_group	name_es_major_group	name_en_minor_group	name_es_minor_group	name_short_es_minor_group	name_en_broad_occupation	name_es_broad_occupation	name_en_detailed_occupation	name_es_detailed_occupation	name_short_es_detailed_occupation
11-0000	11-1000	11-1010	11-1011	Management Occupations	Ocupaciones gerenciales	Top Executives	Directivos	Directivos	Chief Executives	Directores Ejecutivos	Chief Executives	Directores Ejecutivos	Directores Ejecutivos
11-0000	11-1000	11-1020	11-1021	Management Occupations	Ocupaciones gerenciales	Top Executives	Directivos	Directivos	General and Operations Managers	Gerentes Generales y de Operaciones	General and Operations Managers	Gerentes Generales y de Operaciones	Gerentes Generales y de Operaciones
11-0000	11-1000	11-1030	11-1031	Management Occupations	Ocupaciones gerenciales	Top Executives	Directivos	Directivos	Legislators	Legisladores	Legislators	Legisladores	Legisladores
11-0000	11-2000	11-2010	11-2011	Management Occupations	Ocupaciones gerenciales	Advertising, Marketing and Sales Managers	Gerentes de Publicidad, Marketing, Promociones, Relaciones Públicas, y Ventas	Gerentes de Publicidad y Ventas	Advertising and Promotions Managers	Gerentes de Publicidad y Promociones	Advertising and Promotions Managers	Gerentes de Publicidad y Promociones	Gerentes de Publicidad y Promociones
11-0000	11-2000	11-2020	11-2021	Management Occupations	Ocupaciones gerenciales	Advertising, Marketing and Sales Managers	Gerentes de Publicidad, Marketing, Promociones, Relaciones Públicas, y Ventas	Gerentes de Publicidad y Ventas	Marketing and Sales Managers	Gerentes de Mercadeo y de Ventas	Marketing Managers	Gerentes de Mercadeo	Gerentes de Mercadeo
11-0000	11-2000	11-2020	11-2022	Management Occupations	Ocupaciones gerenciales	Advertising, Marketing and Sales Managers	Gerentes de Publicidad, Marketing, Promociones, Relaciones Públicas, y Ventas	Gerentes de Publicidad y Ventas	Marketing and Sales Managers	Gerentes de Mercadeo y de Ventas	Sales Managers	Gerentes de Ventas	Gerentes de Ventas
11-0000	11-2000	11-2030	11-2031	Management Occupations	Ocupaciones gerenciales	Advertising, Marketing and Sales Managers	Gerentes de Publicidad, Marketing, Promociones, Relaciones Públicas, y Ventas	Gerentes de Publicidad y Ventas	Public Relations and Fundraising Managers	Gerentes de Relaciones Públicas y Recaudación de Fondos	Public Relations and Fundraising Managers	Gerentes de Relaciones Públicas y Recaudación de Fondos	Gerentes de Relaciones Públicas
11-0000	11-3000	11-3010	11-3011	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Administrative Services Managers	Gerentes de Servicios Administrativos	Administrative Services Managers	Gerentes de Servicios Administrativos	Gerentes de Servicios Administrativos
11-0000	11-3000	11-3020	11-3021	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Computer and Information Systems Managers	Gerentes de Sistemas de Computación e Información	Computer and Information Systems Managers	Gerentes de Sistemas de Computación e Información	Gerentes de Sistemas de Computación e Información
11-0000	11-3000	11-3030	11-3031	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Financial Managers	Gerentes Financieros	Financial Managers	Gerentes Financieros	Gerentes Financieros
11-0000	11-3000	11-3050	11-3051	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Industrial Production Managers	Gerentes de Producción Industrial	Industrial Production Managers	Gerentes de Producción Industrial	Gerentes de Producción Industrial
11-0000	11-3000	11-3060	11-3061	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Purchasing Managers	Gerentes de Compras	Purchasing Managers	Gerentes de Compras	Gerentes de Compras
11-0000	11-3000	11-3070	11-3071	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Transportation, Storage, and Distribution Managers	Gerentes de Transporte, Almacenamiento y Distribución	Transportation, Storage, and Distribution Managers	Gerentes de Transporte, Almacenamiento y Distribución	Gerentes de Transporte
11-0000	11-3000	11-3110	11-3111	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Compensation and Benefits Managers	Gerentes de Compensaciones y Beneficios	Compensation and Benefits Managers	Gerentes de Compensaciones y Beneficios	Gerentes de Compensaciones y Beneficios
11-0000	11-3000	11-3120	11-3121	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Human Resources Managers	Gerentes de Recursos Humanos	Human Resources Managers	Gerentes de Recursos Humanos	Gerentes de Recursos Humanos
11-0000	11-3000	11-3130	11-3131	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Training and Development Managers	Gerentes de Capacitación y Desarrollo	Training and Development Managers	Gerentes de Capacitación y Desarrollo	Gerentes de Capacitación y Desarrollo
11-0000	11-9000	11-9010	11-9013	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Farmers, Ranchers, and Other Agricultural Managers	Agricultores, Ganaderos y Gerentes Agrícolas	Farmers, Ranchers, and Other Agricultural Managers	Gerentes de Viveros y de Invernaderos	Gerentes de Viveros y de Invernaderos
11-0000	11-9000	11-9020	11-9021	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Construction Managers	Gerentes de Construcción	Construction Managers	Gerentes de Construcción	Gerentes de Construcción
11-0000	11-9000	11-9030	11-9031	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Education Administrators	Administradores Educativos	Education Administrators, Preschool and Childcare Center/Program	Administradores Educativos de Centro/Programa Preescolar y Guardería Infantil	Administradores Educativos de Preescolar
11-0000	11-9000	11-9030	11-9032	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Education Administrators	Administradores Educativos	Education Administrators, Elementary and Secondary School	Administradores Educativos de Escuela Primaria y Secundaria	Administradores Educativos Primaria y Secundaria
11-0000	11-9000	11-9030	11-9033	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Education Administrators	Administradores Educativos	Education Administrators, Postsecondary	Administradores Educativos de Nivel Postsecundario	Administradores Educativos de Nivel Postsecundario
11-0000	11-9000	11-9030	11-9039	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Education Administrators	Administradores Educativos	Education Administrators, All Other	Todos los demás Administradores Educativos	Todos los demás Administradores Educativos
11-0000	11-9000	11-9040	11-9041	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Architectural and Engineering Managers	Directores de Arquitectura e Ingeniería	Architectural and Engineering Managers	Directores de Arquitectura e Ingeniería	Directores de Arquitectura e Ingeniería
11-0000	11-9000	11-9050	11-9051	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Food Service Managers	Directores de Servicio de Alimentos	Food Service Managers	Directores de Servicio de Alimentos	Directores de Servicio de Alimentos
11-0000	11-9000	11-9060	11-9061	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Funeral Service Managers	Gerentes de Servicios Fúnebres	Funeral Service Managers	Gerentes de Servicios Fúnebres	Gerentes de Servicios Fúnebres
11-0000	11-9000	11-9070	11-9071	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Gaming Managers	Gerentes de Salas de Juego	Gaming Managers	Gerentes de Salas de Juego	Gerentes de Salas de Juego
11-0000	11-9000	11-9080	11-9081	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Lodging Managers	Gerentes de Hospedaje	Lodging Managers	Gerentes de Hospedaje	Gerentes de Hospedaje
11-0000	11-9000	11-9110	11-9111	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Medical and Health Services Managers	Directores de Servicios Médicos y de Salud	Medical and Health Services Managers	Directores de Servicios Médicos y de Salud	Directores de Servicios Médicos y de Salud
11-0000	11-9000	11-9120	11-9121	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Natural Sciences Managers	Directores de Ciencias Naturales	Natural Sciences Managers	Directores de Ciencias Naturales	Directores de Ciencias Naturales
11-0000	11-9000	11-9130	11-9131	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Postmasters and Mail Superintendents	Jefes de Correo y Superintendentes de Correo	Postmasters and Mail Superintendents	Jefes de Correo y Superintendentes de Correo	Jefes de Correo y Superintendentes de Correo
11-0000	11-9000	11-9140	11-9141	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Property, Real Estate, and Community Association Managers	Gerentes de Propiedad, Inmuebles y Asociaciones de Vivienda Comunitaria	Property, Real Estate, and Community Association Managers	Gerentes de Propiedad, Inmuebles y Asociaciones de Vivienda Comunitaria	Gerentes de Propiedad
11-0000	11-9000	11-9150	11-9151	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Social and Community Service Managers	Directores de Servicios Sociales y Comunitarios	Social and Community Service Managers	Directores de Servicios Sociales y Comunitarios	Directores de Servicios Sociales y Comunitarios
11-0000	11-9000	11-9160	11-9161	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Emergency Management Directors	Directores de Manejo de Emergencias	Emergency Management Directors	Directores de Manejo de Emergencias	Directores de Manejo de Emergencias
11-0000	11-9000	11-9190	11-9199	Management Occupations	Ocupaciones gerenciales	Other Management Occupations	Otras Ocupaciones Gestión	Otras Ocupaciones Gerenciales	Miscellaneous Managers	Gerentes Varios	Managers, All Other	Todos los demás Gerentes, Directores, Administradores y Jefes	Todos los demás Gerente
13-0000	13-1000	13-1010	13-1011	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Agents and Business Managers of Artists, Performers, and Athletes	Agentes y Gerentes Comerciales de Artistas, Intérpretes Artísticos y Atletas	Agents and Business Managers of Artists, Performers, and Athletes	Agentes y Gerentes Comerciales de Artistas, Intérpretes Artísticos y Atletas	Agentes y Gerentes Artistas y Atletas
13-0000	13-1000	13-1020	13-1021	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Buyers and Purchasing Agents	Compradores y Agentes de Compras 	Buyers and Purchasing Agents, Farm Products	Compradores y Agentes de Compras de Productos Agrícolas	Compradores de Productos Agrícolas
13-0000	13-1000	13-1020	13-1022	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Buyers and Purchasing Agents	Compradores y Agentes de Compras 	Wholesale and Retail Buyers, Except Farm Products	Compradores Mayoristas y Minoristas, Excepto de Productos Agrícolas	Compradores Mayoristas y Minoristas, Excepto de Productos Agrícolas
13-0000	13-1000	13-1020	13-1023	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Buyers and Purchasing Agents	Compradores y Agentes de Compras 	Purchasing Agents, Except Wholesale, Retail, and Farm Products	Agentes de Compras, Excepto Mayoristas, Minoristas y de Productos Agrícolas	Agentes de Compras, Excepto Mayoristas, Minoristas y de Productos Agrícolas
13-0000	13-1000	13-1030	13-1031	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Claims Adjusters, Appraisers, Examiners, and Investigators	Ajustadores, Tasadores, Examinadores e Investigadores	Claims Adjusters, Examiners, and Investigators	Ajustadores, Examinadores e Investigadores de Reclamaciones	Examinadores e Investigadores de Reclamaciones
13-0000	13-1000	13-1030	13-1032	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Claims Adjusters, Appraisers, Examiners, and Investigators	Ajustadores, Tasadores, Examinadores e Investigadores	Insurance Appraisers, Auto Damage	Tasadores de Seguro de Automóviles	Tasadores de Seguro de Automóviles
13-0000	13-1000	13-1040	13-1041	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Compliance Officers	Funcionarios de Cumplimiento	Compliance Officers	Funcionarios de Cumplimiento	Funcionarios de Cumplimiento
13-0000	13-1000	13-1050	13-1051	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Cost Estimators	Estimadores de Costos	Cost Estimators	Estimadores de Costos	Estimadores de Costos
13-0000	13-1000	13-1070	13-1071	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Human Resources Workers	Trabajadores en Recursos Humanos	Human Resources Specialists	Especialistas en Recursos Humanos	Especialistas en Recursos Humanos
13-0000	13-1000	13-1070	13-1074	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Human Resources Workers	Trabajadores en Recursos Humanos	Farm Labor Contractors	Contratistas de Mano de Obra Agrícola	Contratistas de Mano de Obra Agrícola
13-0000	13-1000	13-1070	13-1075	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Human Resources Workers	Trabajadores en Recursos Humanos	Labor Relations Specialists	Especialistas en Relaciones Laborales	Especialistas en Relaciones Laborales
13-0000	13-1000	13-1080	13-1081	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Logisticians	Especialistas en Logística	Logisticians	Especialistas en Logística	Especialistas en Logística
13-0000	13-1000	13-1110	13-1111	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Management Analysts	Analistas de Gestión	Management Analysts	Analistas de Gestión	Analistas de Gestión
13-0000	13-1000	13-1120	13-1121	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Meeting, Convention, and Event Planners	Planificadores de Reuniones, Convenciones y Eventos	Meeting, Convention, and Event Planners	Planificadores de Reuniones, Convenciones y Eventos	Planificadores de Reuniones y Eventos
13-0000	13-1000	13-1130	13-1131	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Fundraisers	Recaudadores de Fondos	Fundraisers	Recaudadores de Fondos	Recaudadores de Fondos
13-0000	13-1000	13-1140	13-1141	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Compensation, Benefits, and Job Analysis Specialists	Especialistas en Compensaciones, Beneficios y Análisis Ocupacional	Compensation, Benefits, and Job Analysis Specialists	Especialistas en Compensaciones, Beneficios y Análisis Ocupacional	Especialistas en Compensaciones y Beneficios
13-0000	13-1000	13-1150	13-1151	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Training and Development Specialists	Especialistas en Capacitación y Desarrollo	Training and Development Specialists	Especialistas en Capacitación y Desarrollo	Especialistas en Capacitación y Desarrollo
13-0000	13-1000	13-1160	13-1161	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Market Research Analysts and Marketing Specialists	Analistas de Investigación de Mercado y Especialistas en Mercadeo	Market Research Analysts and Marketing Specialists	Analistas de Investigación de Mercado y Especialistas en Mercadeo	Analistas de Investigación de Mercado y Especialistas en Mercadeo
13-0000	13-1000	13-1190	13-1199	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Business Operations Specialists	Especialistas de Operaciones Comerciales	Especialistas de Operaciones Comerciales	Miscellaneous Business Operations Specialists	Especialistas en Opraciones Comerciales Varias	Business Operations Specialists, All Other	Todos los demás Especialistas en Operaciones Comerciales	Otros Especialistas en Operaciones Comerciales
13-0000	13-2000	13-2010	13-2011	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Accountants and Auditors	Contadores y Auditores	Accountants and Auditors	Contadores y Auditores	Contadores y Auditores
13-0000	13-2000	13-2020	13-2021	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Appraisers and Assessors of Real Estate	Tasadores y Especialistas en Valoración de Bienes Raíces	Appraisers and Assessors of Real Estate	Tasadores y Especialistas en Valoración de Bienes Raíces	Especialistas en Valoración de Bienes Raíces
13-0000	13-2000	13-2030	13-2031	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Budget Analysts	Analistas de Presupuesto	Budget Analysts	Analistas de Presupuesto	Analistas de Presupuesto
13-0000	13-2000	13-2040	13-2041	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Credit Analysts	Analistas de Crédito	Credit Analysts	Analistas de Crédito	Analistas de Crédito
13-0000	13-2000	13-2050	13-2051	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Financial Analysts and Advisors	Analistas y Asesores Financieros	Financial Analysts	Analistas Financieros	Analistas Financieros
13-0000	13-2000	13-2050	13-2052	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Financial Analysts and Advisors	Analistas y Asesores Financieros	Personal Financial Advisors	Asesores de Finanzas Personales	Asesores de Finanzas Personales
13-0000	13-2000	13-2050	13-2053	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Financial Analysts and Advisors	Analistas y Asesores Financieros	Insurance Underwriters	Aseguradores	Aseguradores
13-0000	13-2000	13-2060	13-2061	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Financial Examiners	Examinadores Financieros	Financial Examiners	Examinadores Financieros	Examinadores Financieros
13-0000	13-2000	13-2070	13-2071	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Credit Counselors and Loan Officers	Asesores de Crédito y Oficiales de Préstamo	Credit Counselors	Asesores de Crédito	Asesores de Crédito
13-0000	13-2000	13-2070	13-2072	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Credit Counselors and Loan Officers	Asesores de Crédito y Oficiales de Préstamo	Loan Officers	Oficiales de Préstamo	Oficiales de Préstamo
13-0000	13-2000	13-2080	13-2081	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Tax Examiners, Collectors and Preparers, and Revenue Agents	Examinadores, Cobradores y Preparadores de Impuestos y Agentes de Rentas Públicas	Tax Examiners and Collectors, and Revenue Agents	Examinadores y Cobradores de Impuestos y Agentes de Rentas Públicas	Examinadores y Cobradores de Impuestos y Agentes de Rentas Públicas
13-0000	13-2000	13-2080	13-2082	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Tax Examiners, Collectors and Preparers, and Revenue Agents	Examinadores, Cobradores y Preparadores de Impuestos y Agentes de Rentas Públicas	Tax Preparers	Preparadores de Impuestos	Preparadores de Impuestos
13-0000	13-2000	13-2090	13-2099	Business and Financial Operations Occupations	Ocupaciones de Operaciones Comerciales y Financieros	Financial Specialists	Especialistas Financieros	Especialistas Financieros	Miscellaneous Financial Specialists	Especialistas Financieros Varios	Financial Specialists, All Other	Todos los demás Especialistas Financieros	Todos los demás Especialistas Financieros
15-0000	15-1100	15-1110	15-1111	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Computer and Information Research Scientists	Investigadores de Ciencias de la Computación e Información	Computer and Information Research Scientists	Investigadores de Ciencias de la Computación e Información	Investigadores de la Computación e Información
15-0000	15-1100	15-1120	15-1121	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Computer and Information Analysts	Analistas de Sistemas de Computadoras y Seguridad de la Información	Computer Systems Analysts	Analistas de Sistemas de Computadoras	Analistas de Sistemas de Computadoras
15-0000	15-1100	15-1120	15-1122	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Computer and Information Analysts	Analistas de Sistemas de Computadoras y Seguridad de la Información	Information Security Analysts	Analistas de Seguridad de la Información	Analistas de Seguridad de la Información
15-0000	15-1100	15-1130	15-1131	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Software Developers and Programmers	Diseñadores de Software y Programadores	Computer Programmers	Programadores de Computadoras	Programadores de Computadoras
15-0000	15-1100	15-1130	15-1132	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Software Developers and Programmers	Diseñadores de Software y Programadores	Software Developers, Applications	Diseñadores de Aplicaciones de Programas Software	Diseñadores de Aplicaciones de Programas Software
15-0000	15-1100	15-1130	15-1133	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Software Developers and Programmers	Diseñadores de Software y Programadores	Software Developers, Systems Software	Diseñadores de Sistemas de Programas Software	Diseñadores de Sistemas de Programas Software
15-0000	15-1100	15-1130	15-1134	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Software Developers and Programmers	Diseñadores de Software y Programadores	Web Developers	Diseñadores de Red	Diseñadores de Red
15-0000	15-1100	15-1140	15-1141	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Database and Systems Administrators and Network Architects	Administradores de Bases de Datos y Sistemas y Diseñadores de Redes	Database Administrators	Administradores de Bases de Datos	Administradores de Bases de Datos
15-0000	15-1100	15-1140	15-1142	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Database and Systems Administrators and Network Architects	Administradores de Bases de Datos y Sistemas y Diseñadores de Redes	Network and Computer Systems Administrators	Administradores de Redes Informáticas y Sistemas de Computación	Administradores de Redes Informáticas y Sistemas de Computación
15-0000	15-1100	15-1140	15-1143	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Database and Systems Administrators and Network Architects	Administradores de Bases de Datos y Sistemas y Diseñadores de Redes	Computer Network Architects	Diseñadores de Redes Informáticas	Diseñadores de Redes Informáticas
15-0000	15-1100	15-1150	15-1151	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Computer Support Specialists	Especialistas en Apoyo Técnico de Computadoras	Computer User Support Specialists	Especialistas en Apoyo Técnico para Usuarios de Computadoras	Especialistas en Apoyo Técnico para Usuarios de Computadoras
15-0000	15-1100	15-1150	15-1152	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Computer Support Specialists	Especialistas en Apoyo Técnico de Computadoras	Computer Network Support Specialists	Especialistas en Apoyo Técnico de Computadoras y Redes Informáticas	Especialistas en Apoyo Técnico de Computadoras y Redes Informáticas
15-0000	15-1100	15-1190	15-1199	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Computer Occupations	Ocupaciones en Ciencias de la Computación	Ocupaciones en Computación	Miscellaneous Computer Occupations	Ocupaciones en la Computación Varias	Computer Occupations, All Other	Todas las demás Ocupaciones Relacionadas con la Computación	Todas las demás Ocupaciones Relacionadas con la Computación
15-0000	15-2000	15-2010	15-2011	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Mathematical Science Occupations	Ocupaciones en Matemáticas	Ocupaciones en Matemáticas	Actuaries	Actuarios	Actuaries	Actuarios	Actuarios
15-0000	15-2000	15-2020	15-2021	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Mathematical Science Occupations	Ocupaciones en Matemáticas	Ocupaciones en Matemáticas	Mathematicians	Matemáticos	Mathematicians	Matemáticos	Matemáticos
15-0000	15-2000	15-2030	15-2031	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Mathematical Science Occupations	Ocupaciones en Matemáticas	Ocupaciones en Matemáticas	Operations Research Analysts	Analistas de Operaciones de Investigación	Operations Research Analysts	Analistas de Operaciones de Investigación	Analistas de Operaciones de Investigación
15-0000	15-2000	15-2040	15-2041	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Mathematical Science Occupations	Ocupaciones en Matemáticas	Ocupaciones en Matemáticas	Statisticians	Estadísticos	Statisticians	Estadísticos	Estadísticos
15-0000	15-2000	15-2090	15-2091	Computer and Mathematical Occupations	Ocupaciones de Computación y Matemáticas	Mathematical Science Occupations	Ocupaciones en Matemáticas	Ocupaciones en Matemáticas	Miscellaneous Mathematical Science Occupations	Ocupaciones en Matemáticas Varias	Mathematical Technicians	Técnicos Matemáticos	Técnicos Matemáticos
