4digit	2digit	section	atlas_section
2932	29	6	5
2933	29	6	5
2934	29	6	5
2935	29	6	5
2936	29	6	5
2937	29	6	5
2938	29	6	5
2939	29	6	5
2940	29	6	5
2941	29	6	5
2942	29	6	5
3001	30	6	5
3002	30	6	5
3003	30	6	5
3004	30	6	5
3005	30	6	5
3006	30	6	5
3101	31	6	5
3102	31	6	5
3103	31	6	5
3104	31	6	5
3105	31	6	5
3201	32	6	5
3202	32	6	5
3203	32	6	5
3204	32	6	5
3205	32	6	5
3206	32	6	5
3207	32	6	5
3208	32	6	5
3209	32	6	5
3210	32	6	5
3211	32	6	5
3212	32	6	5
3213	32	6	5
3214	32	6	5
3215	32	6	5
3301	33	6	5
3302	33	6	5
3303	33	6	5
3304	33	6	5
3305	33	6	5
3306	33	6	5
3307	33	6	5
3401	34	6	5
3402	34	6	5
3403	34	6	5
3404	34	6	5
3405	34	6	5
3406	34	6	5
3407	34	6	5
3501	34	6	5
3502	35	6	5
3503	35	6	5
3504	35	6	5
3505	35	6	5
3506	35	6	5
3507	35	6	5
3601	36	6	5
3602	36	6	5
3603	36	6	5
3604	36	6	5
3605	36	6	5
3606	36	6	5
3701	37	6	5
3702	37	6	5
3703	37	6	5
3704	37	6	5
3705	37	6	5
3706	37	6	5
3707	37	6	5
3801	38	6	5
3802	38	6	5
3803	38	6	5
3804	38	6	5
3805	38	6	5
3806	38	6	5
3807	38	6	5
3808	38	6	5
3809	38	6	5
3810	38	6	5
3811	38	6	5
3812	38	6	5
3813	38	6	5
3814	38	6	5
3815	38	6	5
3816	38	6	5
3817	38	6	5
3818	38	6	5
3819	38	6	5
3820	38	6	5
3821	38	6	5
3822	38	6	5
3823	38	6	5
3824	38	6	5
3825	38	6	5
3826	38	6	5
3901	39	6	6
3902	39	6	6
3903	39	6	6
3904	39	6	6
3905	39	6	6
3906	39	6	6
3907	39	6	6
3908	39	6	6
3909	39	6	6
3910	39	6	6
3911	39	6	6
3912	39	6	6
3913	39	6	6
3914	39	6	6
3915	39	6	6
3916	39	6	6
3917	39	6	6
3918	39	6	6
3919	39	6	6
3920	39	6	6
3921	39	6	6
3922	39	6	6
3923	39	6	6
3924	39	6	6
3925	39	6	6
3926	39	6	6
4001	40	6	6
4002	40	6	6
4003	40	6	6
4004	40	6	6
4005	40	6	6
4006	40	6	6
4007	40	6	6
4008	40	6	6
4009	40	6	6
4010	40	6	6
4011	40	6	6
4012	40	6	6
4013	40	6	6
4014	40	6	6
4015	40	6	6
4016	40	6	6
4017	40	6	6
4101	41	2	7
4102	41	2	7
4103	41	2	7
4104	41	2	7
4105	41	2	7
4106	41	2	7
4107	41	2	7
4108	41	2	7
4109	41	2	7
4110	41	2	7
4111	41	2	7
4112	41	2	7
4113	41	2	7
4114	41	2	7
4115	41	2	7
4201	42	2	7
4202	42	2	7
4203	42	2	7
4204	42	2	7
4205	42	2	7
4206	42	2	7
4301	43	2	7
4302	43	2	7
4303	43	2	7
4304	43	2	7
4401	44	2	8
4402	44	2	8
4403	44	2	8
4404	44	2	8
4405	44	2	8
4406	44	2	8
4407	44	2	8
4408	44	2	8
4409	44	2	8
4410	44	2	8
4411	44	2	8
4412	44	2	8
4413	44	2	8
4414	44	2	8
4415	44	2	8
4416	44	2	8
4417	44	2	8
4418	44	2	8
4419	44	2	8
4420	44	2	8
4421	44	2	8
4501	45	2	8
4502	45	2	8
4503	45	2	8
4504	45	2	8
4601	46	2	8
4602	46	2	8
4701	47	2	8
4702	47	2	8
4703	47	2	8
4704	47	2	8
4705	47	2	8
4706	47	2	8
4707	47	2	8
4801	48	2	8
4802	48	2	8
4803	48	2	8
4804	48	2	8
4805	48	2	8
4806	48	2	8
4807	48	2	8
4808	48	2	8
4809	48	2	8
4810	48	2	8
4811	48	2	8
4812	48	2	8
4813	48	2	8
4814	48	2	8
4815	48	2	8
4816	48	2	8
4817	48	2	8
4818	48	2	8
4819	48	2	8
4820	48	2	8
4821	48	2	8
4822	48	2	8
4823	48	2	8
4901	49	2	8
4902	49	2	8
4903	49	2	8
4904	49	2	8
4905	49	2	8
4906	49	2	8
4907	49	2	8
4908	49	2	8
4909	49	2	8
4910	49	2	8
4911	49	2	8
5001	50	1	9
5002	50	1	9
5003	50	1	9
5004	50	1	9
5005	50	1	9
5006	50	1	9
5007	50	1	9
5101	51	1	9
5102	51	1	9
5103	51	1	9
5104	51	1	9
5105	51	1	9
5106	51	1	9
5107	51	1	9
5108	51	1	9
5109	51	1	9
5110	51	1	9
5111	51	1	9
5112	51	1	9
5113	51	1	9
5201	52	1	9
5202	52	1	9
5203	52	1	9
5204	52	1	9
5205	52	1	9
5206	52	1	9
5207	52	1	9
5208	52	1	9
5209	52	1	9
5210	52	1	9
5211	52	1	9
5212	52	1	9
5301	53	1	9
5302	53	1	9
5303	53	1	9
5304	53	1	9
5305	53	1	9
5306	53	1	9
5307	53	1	9
5308	53	1	9
5309	53	1	9
5310	53	1	9
5311	53	1	9
5401	54	1	9
5402	54	1	9
5403	54	1	9
5404	54	1	9
5405	54	1	9
5406	54	1	9
5407	54	1	9
5408	54	1	9
5501	55	1	9
5502	55	1	9
5503	55	1	9
5504	55	1	9
5505	55	1	9
5506	55	1	9
5507	55	1	9
5508	55	1	9
5509	55	1	9
5510	55	1	9
5511	55	1	9
5512	55	1	9
5513	55	1	9
5514	55	1	9
5515	55	1	9
5516	55	1	9
5601	56	1	9
5602	56	1	9
5603	56	1	9
5604	56	1	9
5605	56	1	9
5606	56	1	9
5607	56	1	9
5608	56	1	9
5609	56	1	9
5701	57	1	9
5702	57	1	9
5703	57	1	9
5704	57	1	9
5705	57	1	9
5801	58	1	9
5802	58	1	9
5803	58	1	9
5804	58	1	9
5805	58	1	9
5806	58	1	9
5807	58	1	9
5808	58	1	9
5809	58	1	9
5810	58	1	9
5811	58	1	9
5901	59	1	9
5902	59	1	9
5903	59	1	9
5904	59	1	9
5905	59	1	9
5906	59	1	9
5907	59	1	9
5908	59	1	9
5909	59	1	9
5910	59	1	9
5911	59	1	9
6001	60	1	9
6002	60	1	9
6003	60	1	9
6004	60	1	9
6005	60	1	9
6006	60	1	9
6101	61	1	9
6102	61	1	9
6103	61	1	9
6104	61	1	9
6105	61	1	9
6106	61	1	9
6107	61	1	9
6108	61	1	9
6109	61	1	9
6110	61	1	9
6111	61	1	9
6112	61	1	9
6113	61	1	9
6114	61	1	9
6115	61	1	9
6116	61	1	9
6117	61	1	9
6201	62	1	9
6202	62	1	9
6203	62	1	9
6204	62	1	9
6205	62	1	9
6206	62	1	9
6207	62	1	9
6208	62	1	9
6209	62	1	9
6210	62	1	9
6211	62	1	9
6212	62	1	9
6213	62	1	9
6214	62	1	9
6215	62	1	9
6216	62	1	9
6217	62	1	9
6301	63	1	9
6302	63	1	9
6303	63	1	9
6304	63	1	9
6305	63	1	9
6306	63	1	9
6307	63	1	9
6308	63	1	9
6309	63	1	9
6310	63	1	9
6401	64	1	10
6402	64	1	10
6403	64	1	10
6404	64	1	10
6405	64	1	10
6406	64	1	10
6501	65	1	10
6502	65	1	10
6503	65	1	10
6504	65	1	10
6505	65	1	10
6506	65	1	10
6507	65	1	10
6601	66	1	10
6602	66	1	10
6603	66	1	10
6701	67	1	10
6702	67	1	10
6703	67	1	10
6704	67	1	10
6801	68	3	11
6802	68	3	11
6803	68	3	11
6804	68	3	11
6805	68	3	11
6806	68	3	11
6807	68	3	11
6808	68	3	11
6809	68	3	11
6810	68	3	11
6811	68	3	11
6812	68	3	11
6813	68	3	11
6814	68	3	11
6815	68	3	11
6901	69	3	11
6902	69	3	11
6903	69	3	11
6904	69	3	11
6905	69	3	11
6906	69	3	11
6907	69	3	11
6908	69	3	11
6909	69	3	11
6910	69	3	11
6911	69	3	11
6912	69	3	11
6913	69	3	11
6914	69	3	11
7001	70	3	11
7002	70	3	11
7003	70	3	11
7004	70	3	11
7005	70	3	11
7006	70	3	11
7007	70	3	11
7008	70	3	11
7009	70	3	11
7010	70	3	11
7011	70	3	11
7012	70	3	11
7013	70	3	11
7014	70	3	11
7015	70	3	11
7016	70	3	11
7017	70	3	11
7018	70	3	11
7019	70	3	11
7020	70	3	11
7101	71	3	11
7102	71	3	11
7103	71	3	11
7104	71	3	11
7105	71	3	11
7106	71	3	11
7107	71	3	11
7108	71	3	11
7109	71	3	11
7110	71	3	11
7111	71	3	11
7112	71	3	11
7113	71	3	11
7114	71	3	11
7115	71	3	11
7116	71	3	11
7117	71	3	11
7118	71	3	11
7201	72	5	12
7202	72	5	12
7203	72	5	12
7204	72	5	12
7205	72	5	12
7206	72	5	12
7207	72	5	12
7208	72	5	12
7209	72	5	12
7210	72	5	12
7211	72	5	12
7212	72	5	12
7213	72	5	12
7214	72	5	12
7215	72	5	12
7216	72	5	12
7217	72	5	12
7218	72	5	12
7219	72	5	12
7220	72	5	12
7221	72	5	12
7222	72	5	12
7223	72	5	12
7224	72	5	12
7225	72	5	12
7226	72	5	12
7227	72	5	12
7228	72	5	12
7229	72	5	12
7301	73	5	12
7302	73	5	12
7303	73	5	12
7304	73	5	12
7305	73	5	12
7306	73	5	12
7307	73	5	12
7308	73	5	12
7309	73	5	12
7310	73	5	12
7311	73	5	12
7312	73	5	12
7313	73	5	12
7314	73	5	12
7315	73	5	12
7316	73	5	12
7317	73	5	12
7318	73	5	12
7319	73	5	12
7320	73	5	12
7321	73	5	12
7322	73	5	12
7323	73	5	12
7324	73	5	12
7325	73	5	12
7326	73	5	12
7401	74	5	12
7402	74	5	12
7403	74	5	12
7404	74	5	12
7405	74	5	12
7406	74	5	12
7407	74	5	12
7408	74	5	12
7409	74	5	12
7410	74	5	12
7411	74	5	12
7412	74	5	12
7413	74	5	12
7414	74	5	12
7415	74	5	12
7416	74	5	12
7417	74	5	12
7418	74	5	12
7419	74	5	12
7501	75	5	12
7502	75	5	12
7503	75	5	12
7504	75	5	12
7505	75	5	12
7506	75	5	12
7507	75	5	12
7508	75	5	12
7601	76	5	12
7602	76	5	12
7603	76	5	12
7604	76	5	12
7605	76	5	12
7606	76	5	12
7607	76	5	12
7608	76	5	12
7609	76	5	12
7610	76	5	12
7611	76	5	12
7612	76	5	12
7613	76	5	12
7614	76	5	12
7615	76	5	12
7616	76	5	12
7801	78	5	12
7802	78	5	12
7803	78	5	12
7804	78	5	12
7805	78	5	12
7806	78	5	12
7901	79	5	12
7902	79	5	12
7903	79	5	12
7904	79	5	12
7905	79	5	12
7906	79	5	12
7907	79	5	12
8001	80	5	12
8002	80	5	12
8003	80	5	12
8004	80	5	12
8005	80	5	12
8006	80	5	12
8007	80	5	12
8101	81	5	12
8102	81	5	12
8103	81	5	12
8104	81	5	12
8105	81	5	12
8106	81	5	12
8107	81	5	12
8108	81	5	12
8109	81	5	12
8110	81	5	12
8111	81	5	12
8112	81	5	12
8113	81	5	12
8201	82	5	12
8202	82	5	12
8203	82	5	12
8204	82	5	12
8205	82	5	12
8206	82	5	12
8207	82	5	12
8208	82	5	12
8209	82	5	12
8210	82	5	12
8211	82	5	12
8212	82	5	12
8213	82	5	12
8214	82	5	12
8215	82	5	12
8301	83	5	12
8302	83	5	12
8303	83	5	12
8304	83	5	12
8305	83	5	12
8306	83	5	12
8307	83	5	12
8308	83	5	12
8309	83	5	12
8310	83	5	12
8311	83	5	12
8401	84	8	13
8402	84	8	13
8403	84	8	13
8404	84	8	13
8405	84	8	13
8406	84	8	13
8407	84	8	13
8408	84	8	13
8409	84	8	13
8410	84	8	13
8411	84	8	13
8412	84	8	13
8413	84	8	13
8414	84	8	13
8415	84	8	13
8416	84	8	13
8417	84	8	13
8418	84	8	13
8419	84	8	13
8420	84	8	13
8421	84	8	13
8422	84	8	13
8423	84	8	13
8424	84	8	13
8425	84	8	13
8426	84	8	13
8427	84	8	13
8428	84	8	13
8429	84	8	13
8430	84	8	13
8431	84	8	13
8432	84	8	13
8433	84	8	13
8434	84	8	13
8435	84	8	13
8436	84	8	13
8437	84	8	13
8438	84	8	13
8439	84	8	13
8440	84	8	13
8441	84	8	13
8442	84	8	13
8443	84	8	13
8444	84	8	13
8445	84	8	13
8446	84	8	13
8447	84	8	13
8448	84	8	13
8449	84	8	13
8450	84	8	13
8451	84	8	13
8452	84	8	13
8453	84	8	13
8454	84	8	13
8455	84	8	13
8456	84	8	13
8457	84	8	13
8458	84	8	13
8459	84	8	13
8460	84	8	13
8461	84	8	13
8462	84	8	13
8463	84	8	13
8464	84	8	13
8465	84	8	13
8466	84	8	13
8467	84	8	13
8468	84	8	13
8469	84	8	13
8470	84	8	13
8471	84	8	13
8472	84	8	13
8473	84	8	13
8474	84	8	13
8475	84	8	13
8476	84	8	13
8477	84	8	13
8478	84	8	13
8479	84	8	13
8480	84	8	13
8481	84	8	13
8482	84	8	13
8483	84	8	13
8484	84	8	13
8485	84	8	13
8486	84	8	13
8487	84	8	13
8501	85	9	13
8502	85	9	13
8503	85	9	13
8504	85	9	13
8505	85	9	13
8506	85	9	13
8507	85	9	13
8508	85	9	13
8509	85	9	13
8510	85	9	13
8511	85	9	13
8512	85	9	13
8513	85	9	13
8514	85	9	13
8515	85	9	13
8516	85	9	13
8517	85	9	13
8518	85	9	13
8519	85	9	13
8520	85	9	13
8521	85	9	13
8522	85	9	13
8523	85	9	13
8524	85	9	13
8525	85	9	13
8526	85	9	13
8527	85	9	13
8528	85	9	13
8529	85	9	13
8530	85	9	13
8531	85	9	13
8532	85	9	13
8533	85	9	13
8534	85	9	13
8535	85	9	13
8536	85	9	13
8537	85	9	13
8538	85	9	13
8539	85	9	13
8540	85	9	13
8541	85	9	13
8542	85	9	13
8543	85	9	13
8544	85	9	13
8545	85	9	13
8546	85	9	13
8547	85	9	13
8548	85	9	13
8601	86	7	14
8602	86	7	14
8603	86	7	14
8604	86	7	14
8605	86	7	14
8606	86	7	14
8607	86	7	14
8608	86	7	14
8609	86	7	14
8701	87	7	14
8702	87	7	14
8703	87	7	14
8704	87	7	14
8705	87	7	14
8706	87	7	14
8707	87	7	14
8708	87	7	14
8709	87	7	14
8710	87	7	14
8711	87	7	14
8712	87	7	14
8713	87	7	14
8714	87	7	14
8715	87	7	14
8716	87	7	14
8801	88	7	14
8802	88	7	14
8803	88	7	14
8804	88	7	14
8805	88	7	14
8901	89	7	14
8902	89	7	14
8903	89	7	14
8904	89	7	14
8905	89	7	14
8906	89	7	14
8907	89	7	14
8908	89	7	14
9001	90	8	15
9002	90	8	15
9003	90	8	15
9004	90	8	15
9005	90	8	15
9006	90	8	15
9007	90	8	15
9008	90	8	15
9009	90	8	15
9010	90	8	15
9011	90	8	15
9012	90	8	15
9013	90	8	15
9014	90	8	15
9015	90	8	15
9016	90	8	15
9017	90	8	15
9018	90	8	15
9019	90	8	15
9020	90	8	15
9021	90	8	15
9022	90	8	15
9023	90	8	15
9024	90	8	15
9025	90	8	15
9026	90	8	15
9027	90	8	15
9028	90	8	15
9029	90	8	15
9030	90	8	15
9031	90	8	15
9032	90	8	15
9033	90	8	15
9101	91	8	15
9102	91	8	15
9103	91	8	15
9104	91	8	15
9105	91	8	15
9106	91	8	15
9107	91	8	15
9108	91	8	15
9109	91	8	15
9110	91	8	15
9111	91	8	15
9112	91	8	15
9113	91	8	15
9114	91	8	15
9201	92	8	15
9202	92	8	15
9203	92	8	15
9204	92	8	15
9205	92	8	15
9206	92	8	15
9207	92	8	15
9208	92	8	15
9209	92	8	15
9301	93	8	15
9302	93	8	15
9303	93	8	15
9304	93	8	15
9305	93	8	15
9306	93	8	15
9307	93	8	15
9401	94	1	15
9402	94	1	15
9403	94	1	15
9404	94	1	15
9405	94	1	15
9406	94	1	15
9501	95	8	15
9502	95	8	15
9503	95	8	15
9504	95	8	15
9505	95	8	15
9506	95	8	15
9507	95	8	15
9508	95	8	15
9601	96	8	15
9602	96	8	15
9603	96	8	15
9604	96	8	15
9605	96	8	15
9606	96	8	15
9607	96	8	15
9608	96	8	15
9609	96	8	15
9610	96	8	15
9611	96	8	15
9612	96	8	15
9613	96	8	15
9614	96	8	15
9615	96	8	15
9616	96	8	15
9617	96	8	15
9618	96	8	15
9619	96	8	15
9701	97	1	15
9702	97	1	15
9703	97	1	15
9704	97	1	15
9705	97	1	15
9706	97	1	15
