"","code","name","level","name_en","name_es","name_short_en","name_short_es","parent_id"
1295,"7741","Electro-medical equipment","4digit","Electro-medical equipment","","Electro-medical equipment","",442.0
1296,"7742","X-ray apparatus and equipment; accessories; and parts, nes","4digit","X-ray apparatus and equipment; accessories; and parts, nes","","X-ray apparatus and equipment; accessories; and parts, nes","",442.0
1297,"7751","Household laundry equipment, nes","4digit","Household laundry equipment, nes","","Household laundry equipment, nes","",443.0
1298,"7752","Domestic refrigerators and freezers","4digit","Domestic refrigerators and freezers","","Domestic refrigerators and freezers","",443.0
1299,"7753","Domestic dishwashing machines","4digit","Domestic dishwashing machines","","Domestic dishwashing machines","",443.0
1300,"7754","Electric shavers and hair clippers, parts thereof, nes","4digit","Electric shavers and hair clippers, parts thereof, nes","","Electric shavers and hair clippers, parts thereof, nes","",443.0
1301,"7757","Domestic electro-mechanical appliances; and parts thereof, nes","4digit","Domestic electro-mechanical appliances; and parts thereof, nes","","Domestic electro-mechanical appliances; and parts thereof, nes","",443.0
1302,"7758","Electro-thermic appliances, nes","4digit","Electro-thermic appliances, nes","","Electro-thermic appliances, nes","",443.0
1303,"7761","Television picture tubes, cathode ray","4digit","Television picture tubes, cathode ray","","Television picture tubes, cathode ray","",444.0
1304,"7762","Other electronic valves and tubes","4digit","Other electronic valves and tubes","","Other electronic valves and tubes","",444.0
1305,"7763","Diodes, transistors, photocells, etc","4digit","Diodes, transistors, photocells, etc","","Diodes, transistors, photocells, etc","",444.0
1306,"7764","Electronic microcircuits","4digit","Electronic microcircuits","","Electronic microcircuits","",444.0
1307,"7768","Crystals, and parts, nes of electronic components of heading 776","4digit","Crystals, and parts, nes of electronic components of heading 776","","Crystals, and parts, nes of electronic components of heading 776","",444.0
1308,"7781","Batteries and electric accumulators, and parts thereof, nes","4digit","Batteries and electric accumulators, and parts thereof, nes","","Batteries and electric accumulators, and parts thereof, nes","",445.0
1309,"7782","Electric filament lamps and discharge lamps; arc-lamps","4digit","Electric filament lamps and discharge lamps; arc-lamps","","Electric filament lamps and discharge lamps; arc-lamps","",445.0
1310,"7783","Automotive electrical equipment; and parts thereof, nes","4digit","Automotive electrical equipment; and parts thereof, nes","","Automotive electrical equipment; and parts thereof, nes","",445.0
1311,"7784","Electro-mechanical hand tools, and parts thereof, nes","4digit","Electro-mechanical hand tools, and parts thereof, nes","","Electro-mechanical hand tools, and parts thereof, nes","",445.0
1312,"7788","Other electrical machinery and equipment, nes","4digit","Other electrical machinery and equipment, nes","","Other electrical machinery and equipment, nes","",445.0
1313,"7810","Passenger motor vehicles (excluding buses)","4digit","Passenger motor vehicles (excluding buses)","","Passenger motor vehicles (excluding buses)","",446.0
1314,"7821","Motor vehicles for the transport of goods or materials","4digit","Motor vehicles for the transport of goods or materials","","Motor vehicles for the transport of goods or materials","",447.0
1315,"7822","Special purpose motor lorries and vans","4digit","Special purpose motor lorries and vans","","Special purpose motor lorries and vans","",447.0
