"","code","name","level","name_en","name_es","name_short_en","name_short_es","parent_id"
1346,"8212","Furniture for medical, surgical, dental or veterinary practice","4digit","Furniture for medical, surgical, dental or veterinary practice","","Furniture for medical, surgical, dental or veterinary practice","",456.0
1347,"8219","Other furniture and parts thereof, nes","4digit","Other furniture and parts thereof, nes","","Other furniture and parts thereof, nes","",456.0
1348,"8310","Travel goods, handbags etc, of leather, plastics, textile, others","4digit","Travel goods, handbags etc, of leather, plastics, textile, others","","Travel goods, handbags etc, of leather, plastics, textile, others","",457.0
1349,"8421","Men's and boys' outerwear, textile fabrics not knitted or crocheted; overcoats and other coats","4digit","Men's and boys' outerwear, textile fabrics not knitted or crocheted; overcoats and other coats","","Men's and boys' outerwear, textile fabrics not knitted or crocheted; overcoats and other coats","",458.0
1350,"8422","Men's and boys' outerwear, textile fabrics not knitted or crocheted; suits","4digit","Men's and boys' outerwear, textile fabrics not knitted or crocheted; suits","","Men's and boys' outerwear, textile fabrics not knitted or crocheted; suits","",458.0
1351,"8423","Men's and boys' outerwear, textile fabrics not knitted or crocheted; trousers, breeches and the like","4digit","Men's and boys' outerwear, textile fabrics not knitted or crocheted; trousers, breeches and the like","","Men's and boys' outerwear, textile fabrics not knitted or crocheted; trousers, breeches and the like","",458.0
1352,"8424","Men's and boys' outerwear, textile fabrics not knitted or crocheted; jackets, blazers and the like","4digit","Men's and boys' outerwear, textile fabrics not knitted or crocheted; jackets, blazers and the like","","Men's and boys' outerwear, textile fabrics not knitted or crocheted; jackets, blazers and the like","",458.0
1353,"8429","Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments","4digit","Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments","","Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments","",458.0
1354,"8431","Womens, girls, infants outerwear, textile, not knitted or crocheted; coats and jackets","4digit","Womens, girls, infants outerwear, textile, not knitted or crocheted; coats and jackets","","Womens, girls, infants outerwear, textile, not knitted or crocheted; coats and jackets","",459.0
1355,"8432","Womens, girls, infants outerwear, textile, not knitted or crocheted; suits and costumes","4digit","Womens, girls, infants outerwear, textile, not knitted or crocheted; suits and costumes","","Womens, girls, infants outerwear, textile, not knitted or crocheted; suits and costumes","",459.0
1356,"8433","Womens, girls, infants outerwear, textile, not knitted or crocheted; dresses","4digit","Womens, girls, infants outerwear, textile, not knitted or crocheted; dresses","","Womens, girls, infants outerwear, textile, not knitted or crocheted; dresses","",459.0
1357,"8434","Womens, girls, infants outerwear, textile, not knitted or crocheted; skirts","4digit","Womens, girls, infants outerwear, textile, not knitted or crocheted; skirts","","Womens, girls, infants outerwear, textile, not knitted or crocheted; skirts","",459.0
1358,"8435","Womens, girls, infants outerwear, textile, not knitted or crocheted; blouses","4digit","Womens, girls, infants outerwear, textile, not knitted or crocheted; blouses","","Womens, girls, infants outerwear, textile, not knitted or crocheted; blouses","",459.0
1359,"8439","Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted","4digit","Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted","","Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted","",459.0
1360,"8441","Under garments of textile fabrics, not knitted or crocheted; mens and boys shirts","4digit","Under garments of textile fabrics, not knitted or crocheted; mens and boys shirts","","Under garments of textile fabrics, not knitted or crocheted; mens and boys shirts","",460.0
1361,"8442","Under garments of textile fabrics, not knitted or crocheted; mens, boys under garments; other than shirts","4digit","Under garments of textile fabrics, not knitted or crocheted; mens, boys under garments; other than shirts","","Under garments of textile fabrics, not knitted or crocheted; mens, boys under garments; other than shirts","",460.0
1362,"8443","Under garments of textile fabrics, not knitted or crocheted; womens, girls, infants under garments, textile, not knitted, etc","4digit","Under garments of textile fabrics, not knitted or crocheted; womens, girls, infants under garments, textile, not knitted, etc","","Under garments of textile fabrics, not knitted or crocheted; womens, girls, infants under garments, textile, not knitted, etc","",460.0
1363,"8451","Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc","4digit","Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc","","Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc","",461.0
