6digit_code	4digit_code	2digit_code	section_code
080410	0804	08	1
080420	0804	08	1
080430	0804	08	1
080440	0804	08	1
080450	0804	08	1
080510	0805	08	1
080520	0805	08	1
080530	0805	08	1
080540	0805	08	1
080590	0805	08	1
080610	0806	08	1
080620	0806	08	1
080710	0807	08	1
080720	0807	08	1
080810	0808	08	1
080820	0808	08	1
080910	0809	08	1
080920	0809	08	1
080930	0809	08	1
080940	0809	08	1
081010	0810	08	1
081020	0810	08	1
081030	0810	08	1
081040	0810	08	1
081090	0810	08	1
081110	0811	08	1
081120	0811	08	1
081190	0811	08	1
081210	0812	08	1
081220	0812	08	1
081290	0812	08	1
081310	0813	08	1
081320	0813	08	1
081330	0813	08	1
081340	0813	08	1
081350	0813	08	1
081400	0814	08	1
090111	0901	09	1
090112	0901	09	1
090121	0901	09	1
090122	0901	09	1
090130	0901	09	1
090140	0901	09	1
090210	0902	09	1
090220	0902	09	1
090230	0902	09	1
090240	0902	09	1
090300	0903	09	1
090411	0904	09	1
090412	0904	09	1
090420	0904	09	1
090500	0905	09	1
090610	0906	09	1
090620	0906	09	1
090700	0907	09	1
090810	0908	09	1
090820	0908	09	1
090830	0908	09	1
090910	0909	09	1
090920	0909	09	1
090930	0909	09	1
090940	0909	09	1
090950	0909	09	1
091010	0910	09	1
091020	0910	09	1
091030	0910	09	1
091040	0910	09	1
091050	0910	09	1
091091	0910	09	1
091099	0910	09	1
100110	1001	10	1
100190	1001	10	1
100200	1002	10	1
100300	1003	10	1
100400	1004	10	1
100510	1005	10	1
100590	1005	10	1
100610	1006	10	1
100620	1006	10	1
100630	1006	10	1
100640	1006	10	1
100700	1007	10	1
100810	1008	10	1
100820	1008	10	1
100830	1008	10	1
100890	1008	10	1
110100	1101	11	1
110210	1102	11	1
110220	1102	11	1
110230	1102	11	1
110290	1102	11	1
110311	1103	11	1
110312	1103	11	1
110313	1103	11	1
110314	1103	11	1
110319	1103	11	1
110321	1103	11	1
110329	1103	11	1
110411	1104	11	1
110412	1104	11	1
110419	1104	11	1
110421	1104	11	1
110422	1104	11	1
110423	1104	11	1
110429	1104	11	1
110430	1104	11	1
110510	1105	11	1
110520	1105	11	1
110610	1106	11	1
110620	1106	11	1
110630	1106	11	1
110710	1107	11	1
110720	1107	11	1
110811	1108	11	1
110812	1108	11	1
110813	1108	11	1
110814	1108	11	1
110819	1108	11	1
110820	1108	11	1
110900	1109	11	1
120100	1201	12	1
120210	1202	12	1
120220	1202	12	1
120300	1203	12	1
120400	1204	12	1
120500	1205	12	1
120600	1206	12	1
120710	1207	12	1
120720	1207	12	1
120730	1207	12	1
120740	1207	12	1
120750	1207	12	1
120760	1207	12	1
120791	1207	12	1
120792	1207	12	1
120799	1207	12	1
120810	1208	12	1
120890	1208	12	1
120911	1209	12	1
120919	1209	12	1
120921	1209	12	1
120922	1209	12	1
120923	1209	12	1
120924	1209	12	1
120925	1209	12	1
120926	1209	12	1
120929	1209	12	1
120930	1209	12	1
120991	1209	12	1
120999	1209	12	1
121010	1210	12	1
121020	1210	12	1
121110	1211	12	1
121120	1211	12	1
121190	1211	12	1
121210	1212	12	1
121220	1212	12	1
121230	1212	12	1
121291	1212	12	1
121292	1212	12	1
121299	1212	12	1
121300	1213	12	1
121410	1214	12	1
121490	1214	12	1
130110	1301	13	1
130120	1301	13	1
130190	1301	13	1
130211	1302	13	1
130212	1302	13	1
130213	1302	13	1
130214	1302	13	1
130219	1302	13	1
130220	1302	13	1
130231	1302	13	1
130232	1302	13	1
130239	1302	13	1
140110	1401	14	1
140120	1401	14	1
140190	1401	14	1
140210	1402	14	1
140291	1402	14	1
140299	1402	14	1
140310	1403	14	1
140390	1403	14	1
140410	1404	14	1
140420	1404	14	1
140490	1404	14	1
150100	1501	15	1
150200	1502	15	1
150300	1503	15	1
150410	1504	15	1
150420	1504	15	1
150430	1504	15	1
150510	1505	15	1
150590	1505	15	1
150600	1506	15	1
150710	1507	15	1
150790	1507	15	1
150810	1508	15	1
150890	1508	15	1
150910	1509	15	1
150990	1509	15	1
151000	1510	15	1
151110	1511	15	1
151190	1511	15	1
151211	1512	15	1
151219	1512	15	1
151221	1512	15	1
151229	1512	15	1
151311	1513	15	1
151319	1513	15	1
151321	1513	15	1
151329	1513	15	1
151410	1514	15	1
151490	1514	15	1
151511	1515	15	1
151519	1515	15	1
151521	1515	15	1
151529	1515	15	1
151530	1515	15	1
151540	1515	15	1
151550	1515	15	1
151560	1515	15	1
151590	1515	15	1
151610	1516	15	1
151620	1516	15	1
151710	1517	15	1
151790	1517	15	1
151800	1518	15	1
151911	1519	15	1
151912	1519	15	1
151913	1519	15	1
151919	1519	15	1
151920	1519	15	1
151930	1519	15	1
152010	1520	15	1
152090	1520	15	1
152110	1521	15	1
152190	1521	15	1
152200	1522	15	1
160100	1601	16	1
160210	1602	16	1
160220	1602	16	1
