"","code","level","parent_id","name_en","name_short_en","name_es","name_short_es","name"
64,"3115","class",59.0,"Dairy products manufacturing","Dairy products manufacturing","Elaboracion de productos lacteos","Elaboracion de productos lacteos","Dairy products manufacturing"
65,"3116","class",59.0,"Livestock, poultry and other edible animals slaughtering, packaging and processing","Livestock, poultry and other edible animals slaughtering, packaging and processing","Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles","Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles","Livestock, poultry and other edible animals slaughtering, packaging and processing"
66,"3117","class",59.0,"Seafood preparation and packaging","Seafood preparation and packaging","Preparacion y envasado de pescados y mariscos","Preparacion y envasado de pescados y mariscos","Seafood preparation and packaging"
67,"3118","class",59.0,"Bakery products and tortilla manufacturing","Bakery products and tortilla manufacturing","Elaboracion de productos de panaderia y tortillas","Elaboracion de productos de panaderia y tortillas","Bakery products and tortilla manufacturing"
68,"3119","class",59.0,"Other food manufacturing","Other food manufacturing","Otras industrias alimentarias","Otras industrias alimentarias","Other food manufacturing"
69,"312","group",58.0,"Beverage and tobacco industries","Beverage and tobacco industries","Industria de las bebidas y del tabaco","Industria de las bebidas y del tabaco","Beverage and tobacco industries"
70,"3121","class",69.0,"Beverage industry","Beverage industry","Industria de las bebidas","Industria de las bebidas","Beverage industry"
71,"3122","class",69.0,"Tobacco industry","Tobacco industry","Industria del tabaco","Industria del tabaco","Tobacco industry"
72,"313","group",58.0,"Textile inputs manufacturing, and textiles finishing","Textile inputs manufacturing, and textiles finishing","Fabricacion de insumos textiles y acabado de textiles","Fabricacion de insumos textiles y acabado de textiles","Textile inputs manufacturing, and textiles finishing"
73,"3131","class",72.0,"Textile fibers preparation and spinning, and thread and yarn manufacturing","Textile fibers preparation and spinning, and thread and yarn manufacturing","Preparacion e hilado de fibras textiles, y fabricacion de hilos","Preparacion e hilado de fibras textiles, y fabricacion de hilos","Textile fibers preparation and spinning, and thread and yarn manufacturing"
74,"3132","class",72.0,"Fabrics manufacturing","Fabrics manufacturing","Fabricacion de telas","Fabricacion de telas","Fabrics manufacturing"
75,"3133","class",72.0,"Textile products finishing and coated fabrics manufacturing","Textile products finishing and coated fabrics manufacturing","Acabado de productos textiles y fabricacion de telas recubiertas","Acabado de productos textiles y fabricacion de telas recubiertas","Textile products finishing and coated fabrics manufacturing"
76,"314","group",58.0,"Textile products manufacturing, except apparel","Textile products manufacturing, except apparel","Fabricacion de productos textiles, excepto prendas de vestir","Fabricacion de productos textiles, excepto prendas de vestir","Textile products manufacturing, except apparel"
77,"3141","class",76.0,"Rugs, linens and similar products confectioning","Rugs, linens and similar products confectioning","Confeccion de alfombras, blancos y similares","Confeccion de alfombras, blancos y similares","Rugs, linens and similar products confectioning"
78,"3149","class",76.0,"Other textile products manufacturing, except apparel","Other textile products manufacturing, except apparel","Fabricacion de otros productos textiles, excepto prendas de vestir","Fabricacion de otros productos textiles, excepto prendas de vestir","Other textile products manufacturing, except apparel"
79,"315","group",58.0,"Apparel manufacturing","Apparel manufacturing","Fabricacion de prendas de vestir","Fabricacion de prendas de vestir","Apparel manufacturing"
80,"3151","class",79.0,"Knitted apparel manufacturing","Knitted apparel manufacturing","Fabricacion de prendas de vestir de punto","Fabricacion de prendas de vestir de punto","Knitted apparel manufacturing"
81,"3152","class",79.0,"Cut and sew apparel manufacturing","Cut and sew apparel manufacturing","Confeccion de prendas de vestir","Confeccion de prendas de vestir","Cut and sew apparel manufacturing"
