code	level	name_en	name_short_en	name_es	name_short_es
59814	level4	Rosin and resin acids, and derivatives; rosin spirits and oils	Rosin and resin acids, and derivatives; rosin spirits and oils		
59819	level4	Wood tar and oils; vegetable pitch; acetone oil, etc	Wood tar and oils; vegetable pitch; acetone oil, etc		
59831	level4	Artificial waxes; prepared waxes, not emulsified or with solvents	Artificial waxes; prepared waxes, not emulsified or with solvents		
59832	level4	Artificial graphite; colloidal graphite	Artificial graphite; colloidal graphite		
59833	level4	Prepared rubber accelerators	Prepared rubber accelerators		
59891	level4	Prepared glazings, dressings and mordants	Prepared glazings, dressings and mordants		
59892	level4	Activated natural mineral products; activated carbon; animal black	Activated natural mineral products; activated carbon; animal black		
59893	level4	Prepared culture media for development of micro-organisms	Prepared culture media for development of micro-organisms		
59894	level4	Preparations and charges for fire extinguishers	Preparations and charges for fire extinguishers		
59895	level4	"Modelling pastes; ""dental wax"" or ""dental impression compounds"""	"Modelling pastes; ""dental wax"" or ""dental impression compounds"""		
59896	level4	Pickling preparations for metal surfaces; fluxes, etc	Pickling preparations for metal surfaces; fluxes, etc		
59897	level4	Composite solvents and thinners for varnishes, etc	Composite solvents and thinners for varnishes, etc		
59898	level4	Compound catalysts	Compound catalysts		
59899	level4	Other chemical products and preparations, nes	Other chemical products and preparations, nes		
61161	level4	Goat and kid skin leather	Goat and kid skin leather		
61169	level4	Leather, nes	Leather, nes		
61181	level4	Chamois-dressed leather	Chamois-dressed leather		
61182	level4	Parchment-dressed leather pre-1978	Parchment-dressed leather pre-1978		
61183	level4	Patent leather and imitation patent leather; metallized leather	Patent leather and imitation patent leather; metallized leather		
62101	level4	Plates, sheets and strip, nes, of unvulcanized rubber	Plates, sheets and strip, nes, of unvulcanized rubber		
62102	level4	Unvulcanized rubber, in other forms; articles etc	Unvulcanized rubber, in other forms; articles etc		
62103	level4	Vulcanized rubber thread and cord	Vulcanized rubber thread and cord		
62104	level4	Plates, sheets, strip, rods, etc, of unhardened vulcanized rubber	Plates, sheets, strip, rods, etc, of unhardened vulcanized rubber		
62105	level4	Piping and tubing, of unhardened vulcanized rubber	Piping and tubing, of unhardened vulcanized rubber		
62106	level4	Hardened rubber, in bulk, plates etc; scrap of hardened rubber	Hardened rubber, in bulk, plates etc; scrap of hardened rubber		
62591	level4	Inner tubes	Inner tubes		
62599	level4	Tires, nes, tire cases, interchangeable tire treads and tire flaps	Tires, nes, tire cases, interchangeable tire treads and tire flaps		
62898	level4	Articles of unhardened rubber, nes	Articles of unhardened rubber, nes		
62899	level4	Articles of hardened rubber, nes	Articles of hardened rubber, nes		
63301	level4	Articles of natural cork	Articles of natural cork		
63302	level4	Agglomerated cork and articles of agglomerated cork	Agglomerated cork and articles of agglomerated cork		
63431	level4	Improved wood, in sheets, blocks or the like	Improved wood, in sheets, blocks or the like		
63432	level4	Reconstituted wood, in sheets, blocks or the like	Reconstituted wood, in sheets, blocks or the like		
63441	level4	Blockboard, laminboard, and similar laminated wood products	Blockboard, laminboard, and similar laminated wood products		
63442	level4	Inlaid wood and wood marquetry	Inlaid wood and wood marquetry		
63443	level4	Cellular wood panels	Cellular wood panels		
63491	level4	Hoopwood; split poles; wooden sticks; chipwood; etc	Hoopwood; split poles; wooden sticks; chipwood; etc		
63492	level4	Wooden beadings and mouldings	Wooden beadings and mouldings		
63493	level4	Wood wool and wood flour	Wood wool and wood flour		
63541	level4	Wooden picture frames, mirror frames and the like	Wooden picture frames, mirror frames and the like		
63542	level4	Household utensils of wood	Household utensils of wood		
63549	level4	Lamps, caskets, trays, and other articles of woods, domestic	Lamps, caskets, trays, and other articles of woods, domestic		
63591	level4	Wooden tools, tool bodies, handles, broom etc; boot and shoe lasts	Wooden tools, tool bodies, handles, broom etc; boot and shoe lasts		
63592	level4	Spools, cops, bobbins, sewing thread reels, etc, of turned wood	Spools, cops, bobbins, sewing thread reels, etc, of turned wood		
63599	level4	Other articles of wood, nes	Other articles of wood, nes		
