code	level	name_en	name_short_en	name_es	name_short_es
65148	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; of discontinuous synthetic fibres	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; of discontinuous synthetic fibres		
65149	level4	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; monofil, strip and imitation catgut	Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; monofil, strip and imitation catgut		
65151	level4	Yarn containing 85% or more of synthetic fibres, put up for retail; of continuous fibres	Yarn containing 85% or more of synthetic fibres, put up for retail; of continuous fibres		
65152	level4	Yarn containing 85% or more of synthetic fibres, put up for retail; of discontinuous fibres	Yarn containing 85% or more of synthetic fibres, put up for retail; of discontinuous fibres		
65166	level4	Yarn containing less than 85% of discontinuous synthetic fibres; mixed mainly or solely with cotton, not for retail	Yarn containing less than 85% of discontinuous synthetic fibres; mixed mainly or solely with cotton, not for retail		
65167	level4	Yarn containing less than 85% of discontinuous synthetic fibres; mixed mainly with wool, fine animal hair, etc, not for retail	Yarn containing less than 85% of discontinuous synthetic fibres; mixed mainly with wool, fine animal hair, etc, not for retail		
65168	level4	Yarn containing less than 85% of discontinuous synthetic fibres; mixed with other than wool, cotton, etc, not put for retail	Yarn containing less than 85% of discontinuous synthetic fibres; mixed with other than wool, cotton, etc, not put for retail		
65169	level4	Yarn containing less than 85% of discontinuous synthetic fibres; put up for retail sale	Yarn containing less than 85% of discontinuous synthetic fibres; put up for retail sale		
65171	level4	Yarn of continuous viscose rayon	Yarn of continuous viscose rayon		
65172	level4	Yarn of continuous acetate fibres	Yarn of continuous acetate fibres		
65173	level4	Yarn of other continuous regenerated textile fibres	Yarn of other continuous regenerated textile fibres		
