"","name","level","code","parent_id"
97,"Extracción De Arcillas De Uso Industrial, Caliza, Caolín Y Bentonitas","class","0812",95.0
98,"Extracción De Minerales Para La Fabricación De Abonos Y Productos Químicos","class","0891",95.0
99,"Extracción De Halita (Sal)","class","0892",95.0
100,"Extracción De Esmeraldas, Piedras Preciosas Y Semipreciosas","group","082",87.0
101,"Extracción De Esmeraldas, Piedras Preciosas Y Semipreciosas","class","0820",100.0
102,"Suministro De Electricidad, Gas, Vapor Y Aire Acondicionado","section","D",""
103,"Distribución De Agua; Evacuación Y Tratamiento De Aguas Residuales, Gestión De Desechos Y Actividades De Saneamiento Ambiental","section","E",""
104,"Comercio Al Por Mayor Y Al Por Menor; Reparación De Vehículos Automotores Y Motocicletas.","section","G",""
105,"Información Y Comunicaciones","section","J",""
106,"Elaboración De Productos Alimenticios","division","10",105.0
107,"Elaboración De Bebidas","division","11",105.0
108,"Fabricación De Sustancias Y Productos Químicos","division","20",105.0
109,"Suministro De Electricidad, Gas, Vapor Y Aire Acondicionado","division","35",105.0
110,"Procesamiento Y Conservación De Carne, Pescado, Crustáceos Y Moluscos","group","101",109.0
111,"Elaboración De Otros Productos Alimenticios","group","108",109.0
112,"Procesamiento Y Conservación De Carne Y Productos Cárnicos","class","1011",111.0
113,"Elaboración De Comidas Y Platos Preparados","class","1084",111.0
114,"Procesamiento Y Conservación De Pescados, Crustáceos Y Moluscos","class","1012",111.0
115,"Procesamiento Y Conservación De Frutas, Legumbres, Hortalizas Y Tubérculos","group","102",109.0
116,"Elaboración De Aceites Y Grasas De Origen Vegetal Y Animal","group","103",109.0
117,"Procesamiento Y Conservación De Frutas, Legumbres, Hortalizas Y Tubérculos","class","1020",116.0
118,"Elaboración De Aceites Y Grasas De Origen Vegetal Y Animal","class","1030",116.0
119,"Elaboración De Productos Lácteos","group","104",109.0
120,"Elaboración De Productos Lácteos","class","1040",119.0
121,"Elaboración De Productos De Molinería, Almidones Y Productos Derivados Del Almidón","group","105",109.0
122,"Elaboración De Alimentos Preparados Para Animales","group","109",109.0
123,"Elaboración De Productos De Molinería","class","1051",122.0
124,"Elaboración De Almidones Y Productos Derivados Del Almidón","class","1052",122.0
125,"Elaboración De Alimentos Preparados Para Animales","class","1090",122.0
126,"Elaboración De Productos De Panadería","class","1081",122.0
127,"Elaboración De Otros Productos Alimenticios N.C.P.","class","1089",122.0
128,"Elaboración De Macarrones, Fideos, Alcuzcuz Y Productos Farináceos Similares","class","1083",122.0
129,"Elaboración De Productos De Café","group","106",109.0
130,"Trilla De Café","class","1061",129.0
131,"Descafeinado, Tostión Y Molienda Del Café","class","1062",129.0
132,"Otros Derivados Del Café","class","1063",129.0
133,"Elaboración De Azúcar Y Panela","group","107",109.0
134,"Elaboración Y Refinación De Azúcar","class","1071",133.0
135,"Elaboración De Panela","class","1072",133.0
136,"Elaboración De Cacao, Chocolate Y Productos De Confitería","class","1082",133.0
137,"Elaboración De Bebidas","group","110",109.0
138,"Fabricación De Sustancias Químicas Básicas, Abonos Y Compuestos Inorgánicos Nitrogenados, Plásticos Y Caucho Sintético En Formas Primarias","group","201",109.0
139,"Suministro De Vapor Y Aire Acondicionado","group","353",109.0
140,"Destilación, Rectificación Y Mezcla De Bebidas Alcohólicas","class","1101",139.0
141,"Fabricación De Sustancias Y Productos Químicos Básicos","class","2011",139.0
142,"Elaboración De Bebidas Fermentadas No Destiladas","class","1102",139.0
143,"Producción De Malta, Elaboración De Cervezas Y Otras Bebidas Malteadas","class","1103",139.0
144,"Elaboración De Bebidas No Alcohólicas, Producción De Aguas Minerales Y De Otras Aguas Embotelladas","class","1104",139.0
145,"Suministro De Vapor Y Aire Acondicionado","class","3530",139.0
146,"Fabricación De Productos Textiles","division","13",105.0
147,"Confección De Prendas De Vestir","division","14",105.0
148,"Fabricación De Papel, Cartón Y Productos De Papel Y Cartón","division","17",105.0
149,"Actividades De Impresión Y De Producción De Copias A Partir De Grabaciones Originales","division","18",105.0
150,"Otras Industrias Manufactureras","division","32",105.0
151,"Instalación, Mantenimiento Y Reparación Especializado De Maquinaria Y Equipo","division","33",105.0
152,"Preparación, Hilatura, Tejeduría Y Acabado De Productos Textiles","group","131",151.0
153,"Preparación E Hilatura De Fibras Textiles","class","1311",152.0
154,"Fabricación De Instrumentos, Aparatos Y Materiales Médicos Y Odontológicos (Incluido Mobiliario)","group","325",151.0
155,"Tejeduría De Productos Textiles","class","1312",154.0
156,"Fabricación De Instrumentos Y Materiales Médicos Y Odontológicos (Incluido Mobiliario)","class","3250",154.0
157,"Actividades De Impresión Y Actividades De Servicios Relacionados Con La Impresión","group","181",151.0
158,"Acabado De Productos Textiles.","class","1313",157.0
159,"Actividades De Impresión","class","1811",157.0
160,"Fabricación De Otros Productos Textiles","group","139",151.0
161,"Fabricación De Papel, Cartón Y Productos De Papel Y Cartón","group","170",151.0
162,"Mantenimiento Y Reparación Especializado De Productos Elaborados En Metal Y De Maquinaria Y Equipo","group","331",151.0
