code	level	name_sp_full	name_es	name_short_es	name_en	name_short_en
6515	class	Actividades de las compañías de financiamiento comercial	Actividades de las compañías de financiamiento comercial	Compañías de financiamiento comercial	Activities of commercial finance companies	Commercial finance companies
6516	class	Actividades de las cooperativas de grado superior de carácter financiero	Actividades de las cooperativas de grado superior de carácter financiero	Cooperativas de grado superior de carácter financiero	Activities of cooperatives with higher level financing	Cooperatives with higher level financing
6519	class	Otros tipos de intermediación monetaria ncp	Otros tipos de intermediación monetaria ncp	Otros tipos de intermediación monetaria ncp	Other moneteary intermediation n.e.c.	Other moneteary intermediation n.e.c.
6591	class	Arrendamiento financiero (leasing)	Arrendamiento financiero (leasing)	Arrendamiento financiero (leasing)	Financial leasing	Financial leasing
6592	class	Actividades de las sociedades de fiducia	Actividades de las sociedades de fiducia	Sociedades de fiducia	Activities of trust companies	Activities of trust companies
6593	class	Actividades de las cooperativas financieras y fondos de empleados	Actividades de las cooperativas financieras y fondos de empleados	Cooperativas financieras y fondos de empleados	Activities of financial cooperatives and employee funds	Financial cooperatives and employee funds
6594	class	Actividades de las sociedades de capitalización	Actividades de las sociedades de capitalización	Sociedades de capitalización	Activities of capitalization companies	Activities capitalization companies
6595	class	Actividades de compra de cartera (factoring)	Actividades de compra de cartera (factoring)	Compra de cartera (factoring)	Activities of factoring companies	Activities of factoring companies
6596	class	Otros tipos de crédito	Otros tipos de crédito	Otros tipos de crédito	Other credit granting	Other credit granting
6599	class	Otros tipos de intermediación financiera ncp	Otros tipos de intermediación financiera ncp	Otros intermediarios financieros ncp	Other financial intermediation n.e.c.	Other financial intermediation n.e.c.
6601	class	Planes de seguros generales	Planes de seguros generales	Planes de seguros generales	General insurance plans	General insurance plans
6602	class	Planes de seguros de vida	Planes de seguros de vida	Planes de seguros de vida	Life insurance plans	Life insurance plans
6603	class	Planes de reaseguros	Planes de reaseguros	Planes de reaseguros	Reinsurance plans	Reinsurance Plans
6604	class	Planes de pensiones y cesantías	Planes de pensiones y cesantías	Planes de pensiones y cesantías	Pension and severance plans	Pension and severance plans
6711	class	Administración de mercados financieros	Administración de mercados financieros	Administración de mercados financieros	Administration of financial markets	Administration of financial markets
6712	class	Actividades de las bolsas de valores	Actividades de las bolsas de valores	Bolsas de valores	Activities of stock exchanges	Activities of stock exchanges
6713	class	Actividades de comisionistas y corredores de valores	Actividades de comisionistas y corredores de valores	Comisionistas y corredores de valores	Activities of commission agents and brokers	Activities of commission agents and brokers
6714	class	Otras actividades relacionadas con el mercado de valores	Otras actividades relacionadas con el mercado de valores	Otras actividades relacionadas con el mercado de valores	Other activities related to the stock market	Other activities related to the stock market
6715	class	Actividades de las casas de cambio	Actividades de las casas de cambio	Actividades de las casas de cambio	Activities of money exchange	Activities of money exchange
6719	class	Actividades auxiliares de la intermediación financiera ncp	Actividades auxiliares de la intermediación financiera ncp	Actividades auxiliares de la intermediación financiera ncp	Activities auxiliary to financial intermediation n.e.c.	Activities auxiliary to financial intermediation n.e.c.
6721	class	Actividades auxiliares de los seguros	Actividades auxiliares de los seguros	Actividades auxiliares de los seguros	Activities auxiliary to insurance	Activities auxiliary to insurance
6722	class	Actividades auxiliares de los fondos de pensiones y cesantías	Actividades auxiliares de los fondos de pensiones y cesantías	Actividades auxiliares de pensiones y cesantías	Activities auxiliary to pension funding	Activities auxiliary to pension funding
7010	class	Actividades inmobiliarias realizadas con bienes propios o arrendados	Actividades inmobiliarias realizadas con bienes propios o arrendados	Actividades inmobiliarias con bienes propios o arrendados	Real estate activities with owned or leased property	Real estate activities with owned or leased property
7020	class	Actividades inmobiliarias realizadas a cambio de una retribución o por contrata	Actividades inmobiliarias realizadas a cambio de una retribución o por contrata	Actividades inmobiliarias realizadas por comisión	Real estate activities on a fee or contract basis	Real estate activities on a fee or contract basis
7111	class	Alquiler de equipo de transporte terrestre	Alquiler de equipo de transporte terrestre	Alquiler de equipo de transporte terrestre	Renting of land transport equipment	Renting of land transport equipment
7112	class	Alquiler de equipo de transporte acuático	Alquiler de equipo de transporte acuático	Alquiler de equipo de transporte acuático	Renting of water transport equipment	Renting of water transport equipment
7113	class	Alquiler de equipo de transporte aéreo	Alquiler de equipo de transporte aéreo	Alquiler de equipo de transporte aéreo	Renting of air transport equipment	Renting of air transport equipment
7121	class	Alquiler de maquinaria y equipo agropecuario	Alquiler de maquinaria y equipo agropecuario	Alquiler de maquinaria y equipo agropecuario	Renting of agricultural machinery and equipment	Rental of agricultural machinery and equipment
7122	class	Alquiler de maquinaria y equipo de construcción y de ingeniería civil	Alquiler de maquinaria y equipo de construcción y de ingeniería civil	Alquiler de maquinaria y equipo de construcción	Renting of construction and civil engineering machinery and equipment	Renting of construction machinery and equipment
7123	class	Alquiler de maquinaria y equipo de oficina (incluso computadoras)	Alquiler de maquinaria y equipo de oficina (incluso computadoras)	Alquiler de maquinaria y equipo de oficina	Renting of office machinery and equipment (including computers)	Renting of office machinery and equipment
7129	class	Alquiler de otros tipos de maquinaria y equipo ncp	Alquiler de otros tipos de maquinaria y equipo ncp	Alquiler de otros tipos de maquinaria y equipo ncp	Renting of other machinery and equipment n.e.c.	Renting of other machinery and equipment n.e.c.
7130	class	Alquiler de efectos personales y enseres domésticos ncp	Alquiler de efectos personales y enseres domésticos ncp	Alquiler de enseres domésticos ncp	Renting of personal and household goods n.e.c.	Renting of personal and household goods nec
