code	level	name_sp_full	name_es	name_short_es	name_en	name_short_en
20	division	Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería	Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería	Transformación de la madera y fabricación de productos de madera	Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials	Wood and wood products
21	division	Fabricación de papel, cartón y productos de papel y cartón	Fabricación de papel, cartón y productos de papel y cartón	Papel y cartón ondulado y envases de papel y cartón	Manufacture of paper and paper products	Paper and paper products
22	division	Actividades de edición e impresión y de reproducción de grabaciones	Actividades de edición e impresión y de reproducción de grabaciones	Actividades de edición e impresión y de reproducción de grabaciones	Publishing, printing and reproduction of recorded media	Publishing, printing and reproduction of recorded media
23	division	Coquización, fabricación de productos de la refinación del petróleo y combustible nuclear	Coquización, fabricación de productos de la refinación del petróleo y combustible nuclear	Productos de la refinación del petróleo y combustible nuclear	Manufacture of coke, refined petroleum products and nuclear fuel	Coke, refined petroleum products and nuclear fuel
24	division	Fabricación de sustancias y productos químicos	Fabricación de sustancias y productos químicos	Sustancias y productos químicos	Manufacture of chemicals and chemical products	Chemicals and chemical products
25	division	Fabricación de productos de caucho y de plástico	Fabricación de productos de caucho y de plástico	Productos de caucho y de plástico	Manufacture of rubber and plastics products	Rubber and plastics products
26	division	Fabricación de otros productos minerales no metálicos	Fabricación de otros productos minerales no metálicos	Otros productos minerales no metálicos	Manufacture of other non-metallic mineral products	Other non-metallic mineral products
27	division	Fabricación de productos metalúrgicos básicos	Fabricación de productos metalúrgicos básicos	Productos metalúrgicos básicos	Manufacture of basic metals	Basic metlas
28	division	Fabricación de productos elaborados de metal, excepto maquinaria y equipo	Fabricación de productos elaborados de metal, excepto maquinaria y equipo	Productos de metal exc.maquinaria y equipo	Manufacture of fabricated metal products, except machinery and equipment	Fabricated metal products, except machinery and equipment
29	division	Fabricación de maquinaria y equipo ncp	Fabricación de maquinaria y equipo ncp	Maquinaria y equipo ncp	Manufacture of machinery and equipment n.e.c.	Machinery and equipment nec
30	division	Fabricación de maquinaria de oficina, contabilidad e informática	Fabricación de maquinaria de oficina, contabilidad e informática	Maquinaria de oficina, contabilidad e informática	Manufacture of office, accounting and computing machinery	Office, accounting and computing machinery
31	division	Fabricación de maquinaria y aparatos eléctricos ncp	Fabricación de maquinaria y aparatos eléctricos ncp	Maquinaria y aparatos eléctricos ncp	Manufacture of electrical machinery and apparatus n.e.c.	Electrical machinery and apparatus nec
32	division	Fabricación de equipo y aparatos de radio, televisión y comunicaciones	Fabricación de equipo y aparatos de radio, televisión y comunicaciones	Equipo y aparatos de radio, televisión y comunicaciones	Manufacture of radio, television and communication equipment and apparatus	Radio, television and communication equipment and apparatus
33	division	Fabricación de instrumentos médicos, ópticos y de precisión y fabricación de relojes	Fabricación de instrumentos médicos, ópticos y de precisión y fabricación de relojes	Instrumentos médicos, ópticos y de precisión y fabricación de relojes	Manufacture of medical, precision and optical instruments, watches and clocks	Medical, precision and optical instruments, watches and clocks
34	division	Fabricación de vehículos automotores, remolques y semirremolques	Fabricación de vehículos automotores, remolques y semirremolques	Vehículos automotores, remolques y semirremolques	Manufacture of motor vehicles, trailers and semi-trailers	Motor vehicles, trailers and semi-trailers
35	division	Fabricación de otros tipos de equipo de transporte	Fabricación de otros tipos de equipo de transporte	Otros tipos de equipo de transporte	Manufacture of other transport equipment	Other transport equipment
36	division	Fabricación de muebles; industrias manufactureras ncp	Fabricación de muebles; industrias manufactureras ncp	Muebles; industrias manufactureras ncp	Manufacture of furniture; manufacturing industries n.e.c.	Furniture; manufacturing industries n.e.c.
37	division	Reciclaje	Reciclaje	Reciclaje	Recycling	Recycling
40	division	Suministro de electricidad, gas, vapor y agua caliente	Suministro de electricidad, gas, vapor y agua caliente	Suministro de electricidad, gas, vapor y agua caliente	Electricity, gas, steam and hot water supply	Electricity, gas, steam and hot water supply
41	division	Captación, depuración y distribución de agua	Captación, depuración y distribución de agua	Captación, depuración y distribución de agua	Collection, purification and distribution of water	Collection, purification and distribution of water
45	division	Construcción	Construcción	Construcción	Construction	Construction
50	division	Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios; comercio al por menor de combustibles y lubricantes para vehículos automotores	Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios; comercio al por menor de combustibles y lubricantes para vehículos automotores	Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios; comercio al por menor de combustibles y lubricantes para vehículos automotores	Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel	Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel
51	division	Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas; mantenimiento y reparación de maquinaria y equipo	Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas; mantenimiento y reparación de maquinaria y equipo	Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas; mantenimiento y reparación de maquinaria y equipo	Wholesale trade and commission trade, except of motor vehicles and motorcycles; maintenance and repartation of machinery and equipment	Wholesale trade and commission trade, except of motor vehicles and motorcycles; maintenance and repartation of machinery and equipment
52	division	Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos	Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos	Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos	Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods	Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods
55	division	Hoteles, restaurantes, bares y similares	Hoteles, restaurantes, bares y similares	Hoteles, restaurantes, bares y similares	Hotels, restaurants, bars and the like	Hotels, restaurants, bars and the like
60	division	Transporte por vía terrestre; transporte por tuberías	Transporte por vía terrestre; transporte por tuberías	Transporte por vía terrestre; transporte por tuberías	Land transport; transport via pipelines	Land transport; transport via pipelines
61	division	Transporte por vía acuática	Transporte por vía acuática	Transporte por vía acuática	Water transport	Water transport
62	division	Transporte por vía aérea	Transporte por vía aérea	Transporte por vía aérea	Air transport	Air transport
63	division	Actividades complementarias y auxiliares al transporte; actividades de agencias de viajes	Actividades complementarias y auxiliares al transporte; actividades de agencias de viajes	Actividades complementarias y auxiliares al transporte; actividades de agencias de viajes	Supporting and auxiliary transport activities; activities of travel agencies	Supporting and auxiliary transport activities; activities of travel agencies
64	division	Correo y telecomunicaciones	Correo y telecomunicaciones	Correo y telecomunicaciones	Post and telecommunications	Post and telecommunications
65	division	Intermediación financiera, excepto los seguros y los fondos de pensiones y cesantías	Intermediación financiera, excepto los seguros y los fondos de pensiones y cesantías	Intermediación financiera, excepto seguros, pensiones y cesantías	Financial intermediation, except insurance and pension funding	Financial intermediation, except insurance and pension funding
66	division	Financiación de planes de seguros y pensiones, excepto la seguridad social de afiliación obligatoria	Financiación de planes de seguros y pensiones, excepto la seguridad social de afiliación obligatoria	Financiación de planes de seguros y pensiones	Insurance and pension funding, except compulsory social security	Financing of insurance and pension plans
67	division	Actividades auxiliares de la intermediación financiera	Actividades auxiliares de la intermediación financiera	Actividades auxiliares de intermediación financiera	Activities auxiliary to financial intermediation	Activities auxiliary to financial intermediation
70	division	Actividades inmobiliarias	Actividades inmobiliarias	Actividades inmobiliarias	Real estate activities	Real estate activities
71	division	Alquiler de maquinaria y equipo sin operarios y de efectos personales y enseres domésticos	Alquiler de maquinaria y equipo sin operarios y de efectos personales y enseres domésticos	Alquiler de maquinaria y equipo sin operarios y enseres domésticos	Renting of machinery and equipment without operator and of personal and household goods	Renting of machinery and equipment without operator and of household goods
72	division	Informática y actividades conexas	Informática y actividades conexas	Informática y actividades conexas	Computing and related activities	Computing and related activities
73	division	Investigación y desarrollo	Investigación y desarrollo	Investigación y desarrollo	Research and development	Research and development
74	division	Otras actividades empresariales	Otras actividades empresariales	Otras actividades empresariales	Other business activities	Other business activities
75	division	Administración pública y defensa; seguridad social de afiliación obligatoria	Administración pública y defensa; seguridad social de afiliación obligatoria	Administración pública y defensa; seguridad social de afiliación obligatoria	Public administration and defence; compulsory social security	Public administration and defense; compulsory social security
80	division	Educación	Educación	Educación	Education	Education
85	division	Servicios sociales y de salud	Servicios sociales y de salud	Servicios sociales y de salud	Health and social work	Health and social work
90	division	Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares	Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares	Eliminación de desperdicios y aguas residuales	Sewage and refuse disposal, sanitation and similar activities	Sewage and refuse disposal, sanitation
91	division	Actividades de asociaciones ncp	Actividades de asociaciones ncp	Actividades de asociaciones ncp	Activities of membership organizations n.e.c.	Activities of membership organizations n.e.c.
92	division	Actividades de esparcimiento y actividades culturales y deportivas	Actividades de esparcimiento y actividades culturales y deportivas	Esparcimiento y actividades culturales y deportivas	Recreational, cultural and sporting activities	Recreational, cultural and sporting activities
93	division	Otras actividades de servicios	Otras actividades de servicios	Otras actividades de servicios	Other service activities	Other service activities
95	division	Hogares privados con servicio doméstico	Hogares privados con servicio doméstico	Hogares privados con servicio doméstico	Private households with employed persons	Private households with employed persons
99	division	Organizaciones y órganos extraterritoriales	Organizaciones y órganos extraterritoriales	Organizaciones y organos extraterritoriales	Extra-territorial organizations and bodies	Extraterritorial organizations and bodies
1	section	Agricultura	Agricultura	Agricultura	Agriculture	Agriculture
2	section	Minería y Petróleo	Minería y Petróleo	Minería y Petróleo	Mining and Oil	Mining and Oil
3	section	Manufactura	Manufactura	Manufactura	Manufacturing	Manufacturing
4	section	Electricidad, Gas y Agua	Electricidad, Gas y Agua	Electricidad, Gas y Agua	Utilities	Utilities
5	section	Construcción	Construcción	Construcción	Construction	Construction
6	section	Comercio	Comercio	Comercio	Commerce	Commerce
7	section	Transporte y Comunicaciones	Transporte y Comunicaciones	Transporte y Comunicaciones	Transport & Communications	Transport & Communications
8	section	Servicios Financieros y Empresariales	Servicios Financieros y Empresariales	Servicios Financieros y Empresariales	Financial & Business Services	Financial & Business Services
9	section	Servicios Sociales	Servicios Sociales	Servicios Sociales	Social Services	Social Services
