"","code","name","level","name_en","name_es","parent_id"
92,"pera","Pera","level3","Pera","Pera",85.0
93,"citricos","Citricos","level2","Citricos","Citricos",69.0
94,"citricos","Citricos","level3","Citricos","Citricos",93.0
95,"lima","Lima","level3","Lima","Lima",93.0
96,"lima tahiti","Lima Tahiti","level3","Lima Tahiti","Lima Tahiti",93.0
97,"limon","Limon","level3","Limon","Limon",93.0
98,"limon mandarino","Limon Mandarino","level3","Limon Mandarino","Limon Mandarino",93.0
99,"limon pajarito","Limon Pajarito","level3","Limon Pajarito","Limon Pajarito",93.0
100,"limon tahiti","Limon Tahiti","level3","Limon Tahiti","Limon Tahiti",93.0
101,"mandarina","Mandarina","level3","Mandarina","Mandarina",93.0
102,"mandarina clementina","Mandarina Clementina","level3","Mandarina Clementina","Mandarina Clementina",93.0
103,"mandarina oneco","Mandarina Oneco","level3","Mandarina Oneco","Mandarina Oneco",93.0
104,"naranja","Naranja","level3","Naranja","Naranja",93.0
105,"naranja jaffa","Naranja Jaffa","level3","Naranja Jaffa","Naranja Jaffa",93.0
106,"naranja salustiana","Naranja Salustiana","level3","Naranja Salustiana","Naranja Salustiana",93.0
107,"naranja valencia","Naranja Valencia","level3","Naranja Valencia","Naranja Valencia",93.0
108,"naranja washington navel","Naranja Washington Navel","level3","Naranja Washington Navel","Naranja Washington Navel",93.0
109,"pomelo","Pomelo","level3","Pomelo","Pomelo",93.0
110,"tangelo mineola","Tangelo Mineola","level3","Tangelo Mineola","Tangelo Mineola",93.0
111,"tangelo orlando","Tangelo Orlando","level3","Tangelo Orlando","Tangelo Orlando",93.0
112,"toronja","Toronja","level3","Toronja","Toronja",93.0
113,"coco","Coco","level2","Coco","Coco",69.0
114,"coco","Coco","level3","Coco","Coco",113.0
115,"curuba","Curuba","level2","Curuba","Curuba",69.0
116,"curuba","Curuba","level3","Curuba","Curuba",115.0
117,"feijoa","Feijoa","level2","Feijoa","Feijoa",69.0
118,"feijoa","Feijoa","level3","Feijoa","Feijoa",117.0
119,"frambuesa","Frambuesa","level2","Frambuesa","Frambuesa",69.0
120,"frambuesa","Frambuesa","level3","Frambuesa","Frambuesa",119.0
121,"fresa","Fresa","level2","Fresa","Fresa",69.0
122,"fresa","Fresa","level3","Fresa","Fresa",121.0
123,"frutales exoticos","Frutales Exoticos","level2","Frutales Exoticos","Frutales Exoticos",69.0
124,"agraz","Agraz","level3","Agraz","Agraz",123.0
125,"aguaje","Aguaje","level3","Aguaje","Aguaje",123.0
126,"araza","Araza","level3","Araza","Araza",123.0
127,"asai","Asai","level3","Asai","Asai",123.0
