"","code","name","level","name_en","name_es","parent_id"
94,"citricos","Citrics","level3","Citrics","Cítricos",93.0
95,"lima","Lime","level3","Lime","Lima",93.0
96,"lima_tahiti","Tahiti lime","level3","Tahiti lime","Lima Tahiti",93.0
97,"limon","Lemon","level3","Lemon","Limón",93.0
98,"limon_mandarino","Citrus lemon","level3","Citrus lemon","Limón Mandarino",93.0
99,"limon_pajarito","Bird lemon","level3","Bird lemon","Limón Pajarito",93.0
100,"limon_tahiti","Tahiti lemon","level3","Tahiti lemon","Limón Tahiti",93.0
101,"mandarina","Tangerine","level3","Tangerine","Mandarina",93.0
102,"mandarina_clementina","Clementine Tangerine","level3","Clementine Tangerine","Mandarina Clementina",93.0
103,"mandarina_oneco","Mandarin orange","level3","Mandarin orange","Mandarina Oneco",93.0
104,"naranja","Orange","level3","Orange","Naranja",93.0
105,"naranja_jaffa","Jaffa orange","level3","Jaffa orange","Naranja Jaffa",93.0
106,"naranja_salustiana","Salustiana orange","level3","Salustiana orange","Naranja Salustiana",93.0
107,"naranja_valencia","Valenciana orange","level3","Valenciana orange","Naranja Valencia",93.0
108,"naranja_washington_navel","Washington navel orange","level3","Washington navel orange","Naranja Washington Navel",93.0
109,"pomelo","Pomelo","level3","Pomelo","Pomelo",93.0
110,"tangelo_mineola","Tangelo mineloa","level3","Tangelo mineloa","Tangelo Mineola",93.0
111,"tangelo_orlando","Tangelo Orlando","level3","Tangelo Orlando","Tangelo Orlando",93.0
112,"toronja","Grapefruit","level3","Grapefruit","Toronja",93.0
113,"coco","Coconut","level2","Coconut","Coco",69.0
114,"coco","Coconut","level3","Coconut","Coco",113.0
115,"curuba","Banana Passionfruit","level2","Banana Passionfruit","Curuba",69.0
116,"curuba","Banana passionfruit","level3","Banana passionfruit","Curuba",115.0
117,"feijoa","Pineapple Guava","level2","Pineapple Guava","Feijoa",69.0
118,"feijoa","Pineapple guava","level3","Pineapple guava","Feijoa",117.0
119,"frambuesa","Raspberry","level2","Raspberry","Frambuesa",69.0
120,"frambuesa","Raspberry","level3","Raspberry","Frambuesa",119.0
121,"fresa","Strawberry","level2","Strawberry","Fresa",69.0
122,"fresa","Strawberry","level3","Strawberry","Fresa",121.0
123,"frutales_exoticos","Exotic Fruits","level2","Exotic Fruits","Frutales Exóticos",69.0
124,"agraz","Unripe grape","level3","Unripe grape","Agraz",123.0
125,"aguaje","Moriche palm","level3","Moriche palm","Aguaje",123.0
126,"araza","Strawberry guava","level3","Strawberry guava","Araza",123.0
127,"asai","Acai palm","level3","Acai palm","Asaí",123.0
128,"bacuri","Bacury","level3","Bacury","Bacuri",123.0
129,"badea","Giant ganadilla","level3","Giant ganadilla","Badea",123.0
130,"borojo","Borojo","level3","Borojo","Borojo",123.0
131,"caimo","Star apple","level3","Star apple","Caimo",123.0
132,"chamba","Chamba","level3","Chamba","Chamba",123.0
133,"chirimoya","Custard apple","level3","Custard apple","Chirimoya",123.0
134,"cholupa","Sweet calabash","level3","Sweet calabash","Cholupa",123.0
135,"chontaduro","Peach palm","level3","Peach palm","Chontaduro",123.0
136,"cocona","Cocona plant","level3","Cocona plant","Cocona",123.0
137,"copoazu","Cupuacu tree","level3","Cupuacu tree","Copoazu",123.0
138,"corozo","Corozo","level3","Corozo","Corozo",123.0
139,"datil","Date palm","level3","Date palm","Dátil",123.0
140,"guama","Ice cream beans","level3","Ice cream beans","Guama",123.0
