"","code","name","level","name_en","name_es","name_short_en","name_short_es","parent_id"
0,"Agropecuario o no agropecuario","Total","level0","Total","Agropecuario o no agropecuario","Total","Agropecuario o no agropecuario",""
1,"Agropecuario","Agricultural","level1","Agricultural","Agropecuario","Agricultural","Agropecuario",0.0
2,"No agropecuario","Nonagricultural","level1","Nonagricultural","No agropecuario","Nonagricultural","No agropecuario",0.0
