"","code","level","name_en","parent_id","name","name_es","name_short_en","name_short_es"
804,"16007","municipality","Aporo",797.0,"Aporo","Aporo","Aporo","Aporo"
805,"16008","municipality","Aquila",797.0,"Aquila","Aquila","Aquila","Aquila"
806,"16009","municipality","Ario",797.0,"Ario","Ario","Ario","Ario"
807,"16010","municipality","Arteaga",797.0,"Arteaga","Arteaga","Arteaga","Arteaga"
808,"16011","municipality","Briseńas",797.0,"Briseńas","Briseńas","Briseńas","Briseńas"
809,"16012","municipality","Buenavista",797.0,"Buenavista","Buenavista","Buenavista","Buenavista"
810,"16013","municipality","Carácuaro",797.0,"Carácuaro","Carácuaro","Carácuaro","Carácuaro"
811,"16014","municipality","Coahuayana",797.0,"Coahuayana","Coahuayana","Coahuayana","Coahuayana"
812,"16015","municipality","Coalcomán De Vázquez Pallares",797.0,"Coalcomán De Vázquez Pallares","Coalcomán De Vázquez Pallares","Coalcomán De Vázquez Pallares","Coalcomán De Vázquez Pallares"
813,"16016","municipality","Coeneo",797.0,"Coeneo","Coeneo","Coeneo","Coeneo"
814,"16017","municipality","Contepec",797.0,"Contepec","Contepec","Contepec","Contepec"
815,"16018","municipality","Copándaro",797.0,"Copándaro","Copándaro","Copándaro","Copándaro"
816,"16019","municipality","Cotija",797.0,"Cotija","Cotija","Cotija","Cotija"
817,"16020","municipality","Cuitzeo",797.0,"Cuitzeo","Cuitzeo","Cuitzeo","Cuitzeo"
818,"16021","municipality","Charapan",797.0,"Charapan","Charapan","Charapan","Charapan"
819,"16022","municipality","Charo",797.0,"Charo","Charo","Charo","Charo"
820,"16023","municipality","Chavinda",797.0,"Chavinda","Chavinda","Chavinda","Chavinda"
821,"16024","municipality","Cherán",797.0,"Cherán","Cherán","Cherán","Cherán"
822,"16025","municipality","Chilchota",797.0,"Chilchota","Chilchota","Chilchota","Chilchota"
823,"16026","municipality","Chinicuila",797.0,"Chinicuila","Chinicuila","Chinicuila","Chinicuila"
824,"16027","municipality","Chucándiro",797.0,"Chucándiro","Chucándiro","Chucándiro","Chucándiro"
825,"16028","municipality","Churintzio",797.0,"Churintzio","Churintzio","Churintzio","Churintzio"
826,"16029","municipality","Churumuco",797.0,"Churumuco","Churumuco","Churumuco","Churumuco"
827,"16030","municipality","Ecuandureo",797.0,"Ecuandureo","Ecuandureo","Ecuandureo","Ecuandureo"
828,"16031","municipality","Epitacio Huerta",797.0,"Epitacio Huerta","Epitacio Huerta","Epitacio Huerta","Epitacio Huerta"
829,"16032","municipality","Erongarícuaro",797.0,"Erongarícuaro","Erongarícuaro","Erongarícuaro","Erongarícuaro"
830,"16033","municipality","Gabriel Zamora",797.0,"Gabriel Zamora","Gabriel Zamora","Gabriel Zamora","Gabriel Zamora"
831,"16034","municipality","Hidalgo",797.0,"Hidalgo","Hidalgo","Hidalgo","Hidalgo"
832,"16035","municipality","La Huacana",797.0,"La Huacana","La Huacana","La Huacana","La Huacana"
833,"16036","municipality","Huandacareo",797.0,"Huandacareo","Huandacareo","Huandacareo","Huandacareo"
834,"16037","municipality","Huaniqueo",797.0,"Huaniqueo","Huaniqueo","Huaniqueo","Huaniqueo"
835,"16038","municipality","Huetamo",797.0,"Huetamo","Huetamo","Huetamo","Huetamo"
836,"16039","municipality","Huiramba",797.0,"Huiramba","Huiramba","Huiramba","Huiramba"
837,"16040","municipality","Indaparapeo",797.0,"Indaparapeo","Indaparapeo","Indaparapeo","Indaparapeo"
838,"16041","municipality","Irimbo",797.0,"Irimbo","Irimbo","Irimbo","Irimbo"
839,"16042","municipality","Ixtlán",797.0,"Ixtlán","Ixtlán","Ixtlán","Ixtlán"
840,"16043","municipality","Jacona",797.0,"Jacona","Jacona","Jacona","Jacona"
841,"16044","municipality","Jiménez",797.0,"Jiménez","Jiménez","Jiménez","Jiménez"
842,"16045","municipality","Jiquilpan",797.0,"Jiquilpan","Jiquilpan","Jiquilpan","Jiquilpan"
843,"16046","municipality","Juárez",797.0,"Juárez","Juárez","Juárez","Juárez"
844,"16047","municipality","Jungapeo",797.0,"Jungapeo","Jungapeo","Jungapeo","Jungapeo"
845,"16048","municipality","Lagunillas",797.0,"Lagunillas","Lagunillas","Lagunillas","Lagunillas"
846,"16049","municipality","Madero",797.0,"Madero","Madero","Madero","Madero"
847,"16050","municipality","Maravatío",797.0,"Maravatío","Maravatío","Maravatío","Maravatío"
848,"16051","municipality","Marcos Castellanos",797.0,"Marcos Castellanos","Marcos Castellanos","Marcos Castellanos","Marcos Castellanos"
849,"16052","municipality","Lázaro Cárdenas",797.0,"Lázaro Cárdenas","Lázaro Cárdenas","Lázaro Cárdenas","Lázaro Cárdenas"
850,"16053","municipality","Morelia",797.0,"Morelia","Morelia","Morelia","Morelia"
851,"16054","municipality","Morelos",797.0,"Morelos","Morelos","Morelos","Morelos"
852,"16055","municipality","Múgica",797.0,"Múgica","Múgica","Múgica","Múgica"
853,"16056","municipality","Nahuatzen",797.0,"Nahuatzen","Nahuatzen","Nahuatzen","Nahuatzen"
854,"16057","municipality","Nocupétaro",797.0,"Nocupétaro","Nocupétaro","Nocupétaro","Nocupétaro"
855,"16058","municipality","Nuevo Parangaricutiro",797.0,"Nuevo Parangaricutiro","Nuevo Parangaricutiro","Nuevo Parangaricutiro","Nuevo Parangaricutiro"
856,"16059","municipality","Nuevo Urecho",797.0,"Nuevo Urecho","Nuevo Urecho","Nuevo Urecho","Nuevo Urecho"
857,"16060","municipality","Numarán",797.0,"Numarán","Numarán","Numarán","Numarán"
858,"16061","municipality","Ocampo",797.0,"Ocampo","Ocampo","Ocampo","Ocampo"
859,"16062","municipality","Pajacuarán",797.0,"Pajacuarán","Pajacuarán","Pajacuarán","Pajacuarán"
860,"16063","municipality","Panindícuaro",797.0,"Panindícuaro","Panindícuaro","Panindícuaro","Panindícuaro"
861,"16064","municipality","Parácuaro",797.0,"Parácuaro","Parácuaro","Parácuaro","Parácuaro"
862,"16065","municipality","Paracho",797.0,"Paracho","Paracho","Paracho","Paracho"
863,"16066","municipality","Pátzcuaro",797.0,"Pátzcuaro","Pátzcuaro","Pátzcuaro","Pátzcuaro"
864,"16067","municipality","Penjamillo",797.0,"Penjamillo","Penjamillo","Penjamillo","Penjamillo"
865,"16068","municipality","Peribán",797.0,"Peribán","Peribán","Peribán","Peribán"
866,"16069","municipality","La Piedad",797.0,"La Piedad","La Piedad","La Piedad","La Piedad"
867,"16070","municipality","Purépero",797.0,"Purépero","Purépero","Purépero","Purépero"
868,"16071","municipality","Puruándiro",797.0,"Puruándiro","Puruándiro","Puruándiro","Puruándiro"
869,"16072","municipality","Queréndaro",797.0,"Queréndaro","Queréndaro","Queréndaro","Queréndaro"
