"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name","trusted","in_book"
222,"TTO","country","Trinidad and Tobago","Trinidad Y Tobago (Republica De)","Trinidad and Tobago","Trinidad y Tobago",356.0,"Trinidad and Tobago",1.0,1.0
223,"TUN","country","Tunisia","Tunez (Republica De)","Tunisia","Tunez",352.0,"Tunisia",1.0,1.0
224,"TUR","country","Turkey","Turquia (Republica De)","Turkey","Turquia",353.0,"Turkey",1.0,1.0
225,"TUV","country","Tuvalu","Tuvalu (Comunidad Britanica De Naciones)","Tuvalu","Tuvalu",354.0,"Tuvalu",0.0,0.0
226,"TZA","country","Tanzania, United Republic of","Tanzania (Republica Unida De)","Tanzania","Tanzania",352.0,"Tanzania, United Republic of",1.0,1.0
227,"UGA","country","Uganda","Uganda (Republica De)","Uganda","Uganda",352.0,"Uganda",1.0,1.0
228,"UKR","country","Ukraine","Ucrania","Ukraine","Ucrania",355.0,"Ukraine",1.0,1.0
229,"UMI","country","United States Minor Outlying Islands","","United States Minor Outlying Islands","",358.0,"United States Minor Outlying Islands",0.0,0.0
230,"URY","country","Uruguay","Uruguay (Republica Oriental Del)","Uruguay","Uruguay",357.0,"Uruguay",1.0,1.0
231,"USA","country","United States of America","Estados Unidos De America","United States of America","Estados Unidos De America",356.0,"United States of America",1.0,1.0
232,"UZB","country","Uzbekistan","Uzbejistan (Republica De)","Uzbekistan","Uzbejistan",353.0,"Uzbekistan",0.0,1.0
233,"VAT","country","Vatican City","Ciudad Del Vaticano (Estado De La)","Vatican City","Ciudad Del Vaticano",355.0,"Vatican City",0.0,0.0
234,"VCT","country","Saint Vincent and the Grenadines","San Vicente Y Las Granadinas","Saint Vincent and the Grenadines","San Vicente y Las Granadinas",356.0,"Saint Vincent and the Grenadines",0.0,0.0
235,"VDR","country","Former Democratic Republic of Vietnam","","Fmr Dem. Rep. of Vietnam","",353.0,"Former Democratic Republic of Vietnam",0.0,0.0
236,"VEN","country","Venezuela (Bolivarian Republic of)","Venezuela (Republica De)","Venezuela","Venezuela",357.0,"Venezuela (Bolivarian Republic of)",1.0,1.0
237,"VGB","country","Virgin Islands (British)","Virgenes. Islas (Britanicas)","Virgin Islands (British)","Virgenes. Islas (Britanicas)",356.0,"Virgin Islands (British)",0.0,0.0
238,"VIR","country","Virgin Islands (U.S.)","Virgenes. Islas (Norteamericanas)","Virgin Islands (U.S.)","Virgenes. Islas (Norteamericanas)",356.0,"Virgin Islands (U.S.)",0.0,0.0
239,"VNM","country","Vietnam","Vietnam (Republica Socialista De)","Vietnam","Vietnam",353.0,"Vietnam",1.0,1.0
240,"VUT","country","Vanuatu","Vanuatu","Vanuatu","Vanuatu",354.0,"Vanuatu",0.0,0.0
241,"WLF","country","Wallis and Futuna","Islas Wallis Y Futuna","Wallis and Futuna","Islas Wallis Y Futuna",354.0,"Wallis and Futuna",0.0,0.0
242,"WSM","country","Samoa","Samoa (Estado Independiente De)","Samoa","Samoa",354.0,"Samoa",0.0,0.0
243,"YEM","country","Yemen","Yemen (Republica De)","Yemen","Yemen",353.0,"Yemen",1.0,1.0
244,"YMD","country","Former Democratic Republic of Yemen","","Fmr Dem. Yemen","",353.0,"Former Democratic Republic of Yemen",0.0,0.0
245,"YUG","country","Yugoslavia","Yugoslavia (Republica Federal De)","Yugoslavia","Yugoslavia",355.0,"Yugoslavia",0.0,0.0
246,"ZAF","country","South Africa","Sudafrica (Republica De)","South Africa","Sudafrica",352.0,"South Africa",1.0,1.0
247,"ZMB","country","Zambia","Zambia (Republica De)","Zambia","Zambia",352.0,"Zambia",1.0,1.0
248,"ZWE","country","Zimbabwe","Zimbabwe (Republica De)","Zimbabwe","Zimbabwe",352.0,"Zimbabwe",0.0,1.0
249,"TWN","country","Taiwan","Taiwan","Taiwan","Taiwan",353.0,"Taiwan",1.0,0.0
250,"ANS","country","Undeclared Countries","Paises No Declarados","Undeclared Countries","Paises No Declarados",358.0,"Undeclared Countries",0.0,0.0
251,"WLD","country","World","","World","",358.0,"World",0.0,0.0
352,"1","region","Africa","África","Africa","África","","Africa","",""
353,"2","region","Asia","Asia","Asia","Asia","","Asia","",""
354,"3","region","Oceania","Oceanía","Oceania","Oceanía","","Oceania","",""
355,"4","region","Europe","Europa","Europe","Europa","","Europe","",""
356,"5","region","North America","Norteamérica","North America","Norteamérica","","North America","",""
357,"6","region","South America","Sudamérica","South America","Sudamérica","","South America","",""
358,"7","region","Other","Otro","Other","Otro","","Other","",""
