"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name","trusted","in_book"
52,"CRI","country","Costa Rica","Costa Rica (Republica De)","Costa Rica","Costa Rica",356.0,"Costa Rica",0.0,1.0
53,"CSK","country","Czechoslovakia","","Czechoslovakia","",355.0,"Czechoslovakia",0.0,0.0
54,"CUB","country","Cuba","Cuba (Republica De)","Cuba","Cuba",356.0,"Cuba",0.0,1.0
55,"CUW","country","Curaçao","Curazao (Territorio Holandes De Ultramar)","Curaçao","Curazao",356.0,"Curaçao",0.0,0.0
56,"CXR","country","Christmas Island","Navidad (Christmas) (Islas)","Christmas Island","Navidad (Christmas) (Islas)",354.0,"Christmas Island",0.0,0.0
57,"CYM","country","Cayman Islands","Caiman (Islas)","Cayman Islands","Caiman (Islas)",356.0,"Cayman Islands",0.0,0.0
58,"CYP","country","Cyprus","Chipre (Republica De)","Cyprus","Chipre",353.0,"Cyprus",0.0,0.0
59,"CZE","country","Czech Republic","Republica Checa","Czech Republic","Republica Checa",355.0,"Czech Republic",1.0,1.0
60,"DDR","country","Former Democratic Republic of Germany","","Fmr Dem. Rep. of Germany","",355.0,"Former Democratic Republic of Germany",0.0,0.0
61,"DEU","country","Germany","Alemania (Republica Federal De)","Germany","Alemania",355.0,"Germany",1.0,1.0
62,"DJI","country","Djibouti","Djibouti (Republica De)","Djibouti","Djibouti",352.0,"Djibouti",0.0,0.0
63,"DMA","country","Dominica","Dominica (Comunidad De)","Dominica","Dominica",356.0,"Dominica",0.0,0.0
64,"DNK","country","Denmark","Dinamarca (Reino De)","Denmark","Dinamarca",355.0,"Denmark",1.0,1.0
65,"DOM","country","Dominican Republic","Republica Dominicana","Dominican Republic","Republica Dominicana",356.0,"Dominican Republic",0.0,1.0
66,"DZA","country","Algeria","Argelia (Republica Democratica Y Popular De)","Algeria","Argelia",352.0,"Algeria",1.0,1.0
67,"ECU","country","Ecuador","Ecuador (Republica Del)","Ecuador","Ecuador",357.0,"Ecuador",1.0,1.0
68,"EGY","country","Egypt","Egipto (Republica Arabe De)","Egypt","Egipto",352.0,"Egypt",1.0,1.0
69,"ERI","country","Eritrea","Eritrea (Estado De)","Eritrea","Eritrea",352.0,"Eritrea",0.0,0.0
70,"ESH","country","Western Sahara","Sahara Occidental (Republica Arabe Saharavi Democratica)","Western Sahara","Sahara Occidental",352.0,"Western Sahara",0.0,0.0
71,"ESP","country","Spain","España (Reino De)","Spain","España",355.0,"Spain",1.0,1.0
72,"EST","country","Estonia","Estonia (Republica De)","Estonia","Estonia",355.0,"Estonia",1.0,1.0
73,"ETH","country","Ethiopia","Etiopia (Republica Democratica Federal)","Ethiopia","Etiopia",352.0,"Ethiopia",1.0,1.0
74,"FIN","country","Finland","Finlandia (Republica De)","Finland","Finlandia",355.0,"Finland",1.0,1.0
75,"FJI","country","Fiji","Fidji (Republica De)","Fiji","Fidji",354.0,"Fiji",1.0,0.0
76,"FLK","country","Falkland Islands","Islas Malvinas (R.U.)","Falkland Islands","Islas Malvinas",356.0,"Falkland Islands",0.0,0.0
77,"FRA","country","France","Francia (Republica Francesa)","France","Francia",355.0,"France",1.0,1.0
78,"FRO","country","Faroe Islands","","Faroe Islands","",355.0,"Faroe Islands",1.0,0.0
79,"FSM","country","Micronesia","Estado Federado De Micronesia","Micronesia","Micronesia",354.0,"Micronesia",0.0,0.0
80,"GAB","country","Gabon","Gabonesa (Republica)","Gabon","Gabonesa",352.0,"Gabon",1.0,1.0
81,"GBR","country","United Kingdom of Great Britain and Northern Ireland","Reino Unido De La Gran Bretaña E Irlanda Del Norte","United Kingdom","Reino Unido",355.0,"United Kingdom of Great Britain and Northern Ireland",1.0,1.0
82,"GEO","country","Georgia","Georgia (Republica De)","Georgia","Georgia",353.0,"Georgia",0.0,1.0
83,"GHA","country","Ghana","Ghana (Republica De)","Ghana","Ghana",352.0,"Ghana",1.0,1.0
84,"GIB","country","Gibraltar","Gibraltar (R.U.)","Gibraltar","Gibraltar",355.0,"Gibraltar",0.0,0.0
85,"GIN","country","Guinea","Guinea (Republica De)","Guinea","Guinea",352.0,"Guinea",0.0,1.0
86,"GLP","country","Guadeloupe","Guadalupe (Departamento De)","Guadeloupe","Guadalupe",356.0,"Guadeloupe",0.0,0.0
87,"GMB","country","Gambia","Gambia (Republica De La)","Gambia","Gambia",352.0,"Gambia",0.0,0.0
88,"GNB","country","Guinea-Bissau","Guinea-Bissau (Republica De)","Guinea-Bissau","Guinea-Bissau",352.0,"Guinea-Bissau",0.0,0.0
89,"GNQ","country","Equatorial Guinea","Guinea Ecuatorial (Republica De)","Equatorial Guinea","Guinea Ecuatorial",352.0,"Equatorial Guinea",1.0,0.0
90,"GRC","country","Greece","Grecia (Republica Helenica)","Greece","Grecia",355.0,"Greece",1.0,1.0
91,"GRD","country","Grenada","Granada","Grenada","Granada",356.0,"Grenada",1.0,0.0
92,"GRL","country","Greenland","Groenlandia (Dinamarca)","Greenland","Groenlandia",356.0,"Greenland",0.0,0.0
93,"GTM","country","Guatemala","Guatemala (Republica De)","Guatemala","Guatemala",356.0,"Guatemala",1.0,1.0
94,"GUF","country","French Guiana","Guyana Francesa","French Guiana","Guyana Francesa",357.0,"French Guiana",0.0,0.0
95,"GUM","country","Guam","Guam (E.U.A.)","Guam","Guam",354.0,"Guam",0.0,0.0
96,"GUY","country","Guyana","Guyana (Republica Cooperativa De)","Guyana","Guyana",357.0,"Guyana",1.0,0.0
97,"HKG","country","Hong Kong","Hong Kong (Region Administrativa Especial De La Republica)","Hong Kong","Hong Kong",353.0,"Hong Kong",1.0,0.0
98,"HMD","country","Heard Island and McDonald Islands","Islas Heard Y Mcdonald","Heard and McDonald Islands","Islas Heard Y Mcdonald",358.0,"Heard Island and McDonald Islands",0.0,0.0
99,"HND","country","Honduras","Honduras (Republica De)","Honduras","Honduras",356.0,"Honduras",0.0,1.0
100,"HRV","country","Croatia","Croacia (Republica De)","Croatia","Croacia",355.0,"Croatia",1.0,1.0
101,"HTI","country","Haiti","Haiti (Republica De)","Haiti","Haiti",356.0,"Haiti",1.0,0.0
102,"HUN","country","Hungary","Hungria (Republica De)","Hungary","Hungria",355.0,"Hungary",1.0,1.0
103,"IDN","country","Indonesia","Indonesia (Republica De)","Indonesia","Indonesia",353.0,"Indonesia",1.0,1.0
104,"IND","country","India","India (Republica De)","India","India",353.0,"India",1.0,1.0
105,"IOT","country","British Indian Ocean Territory","Territorios Britanicos Del Oceano Indico","British Indian Ocean Territory","Territorios Britanicos Del Oceano Indico",358.0,"British Indian Ocean Territory",0.0,0.0
106,"IRL","country","Ireland","Irlanda (Republica De)","Ireland","Irlanda",355.0,"Ireland",1.0,1.0
107,"IRN","country","Iran (Islamic Republic of)","Iran (Republica Islamica Del)","Iran","Iran",353.0,"Iran (Islamic Republic of)",0.0,1.0
108,"IRQ","country","Iraq","Irak (Republica De)","Iraq","Irak",353.0,"Iraq",1.0,0.0
109,"ISL","country","Iceland","Islandia (Republica De)","Iceland","Islandia",355.0,"Iceland",1.0,0.0
110,"ISR","country","Israel","Israel (Estado De)","Israel","Israel",353.0,"Israel",1.0,1.0
111,"ITA","country","Italy","Italia (Republica Italiana)","Italy","Italia",355.0,"Italy",1.0,1.0
112,"JAM","country","Jamaica","Jamaica","Jamaica","Jamaica",356.0,"Jamaica",1.0,1.0
113,"JOR","country","Jordan","Jordania (Reino Hachemita De)","Jordan","Jordania",353.0,"Jordan",1.0,1.0
114,"JPN","country","Japan","Japon","Japan","Japon",353.0,"Japan",1.0,1.0
115,"KAZ","country","Kazakhstan","Kazakhstan (Republica De)","Kazakhstan","Kazakhstan",353.0,"Kazakhstan",1.0,1.0
116,"KEN","country","Kenya","Kenya (Republica De)","Kenya","Kenya",352.0,"Kenya",1.0,1.0
117,"KGZ","country","Kyrgyzstan","Kyrgyzstan (Republica Kirgyzia)","Kyrgyzstan","Kyrgyzstan",353.0,"Kyrgyzstan",0.0,1.0
118,"KHM","country","Cambodia","Camboya (Reino De)","Cambodia","Camboya",353.0,"Cambodia",0.0,1.0
119,"KIR","country","Kiribati","Kiribati (Republica De)","Kiribati","Kiribati",354.0,"Kiribati",0.0,0.0
120,"KNA","country","Saint Kitts and Nevis","San Cristobal Y Nieves (Federacion De) (San Kitts-Nevis)","Saint Kitts and Nevis","San Cristobal y Nieves (San Kitts-Nevis)",356.0,"Saint Kitts and Nevis",0.0,0.0
121,"KOR","country","Korea (Republic of)","Corea (Republica De) (Corea Del Sur)","South Korea","Corea Del Sur",353.0,"Korea (Republic of)",1.0,1.0
122,"KWT","country","Kuwait","Kuwait (Estado De)","Kuwait","Kuwait",353.0,"Kuwait",1.0,1.0
123,"LAO","country","Lao People's Democratic Republic","Republica Democratica Popular Laos","Laos","Laos",353.0,"Lao People's Democratic Republic",1.0,1.0
124,"LBN","country","Lebanon","Libano (Republica De)","Lebanon","Libano",353.0,"Lebanon",1.0,1.0
125,"LBR","country","Liberia","Liberia (Republica De)","Liberia","Liberia",352.0,"Liberia",0.0,0.0
126,"LBY","country","Libya","Libia (Jamahiriya Libia Arabe Popular Socialista)","Libya","Libia",352.0,"Libya",1.0,1.0
