"","code","level","name","parent_id","name_es","name_short_en","name_short_es"
78,"545180","msa","Pamplona",18.0,"Pamplona","Pamplona","Pamplona"
79,"630010","msa","Armenia Met",19.0,"Armenia Met","Armenia Met","Armenia Met"
80,"660010","msa","Pereira Met",20.0,"Pereira Met","Pereira Met","Pereira Met"
81,"680010","msa","Bucaramanga Met",21.0,"Bucaramanga Met","Bucaramanga Met","Bucaramanga Met"
82,"680810","msa","Barrancabermeja",21.0,"Barrancabermeja","Barrancabermeja","Barrancabermeja"
83,"700010","msa","Sincelejo",22.0,"Sincelejo","Sincelejo","Sincelejo"
84,"702150","msa","Corozal",22.0,"Corozal","Corozal","Corozal"
85,"730010","msa","Ibagué",23.0,"Ibagué","Ibagué","Ibagué"
86,"732680","msa","Espinal",23.0,"Espinal","Espinal","Espinal"
87,"760010","msa","Cali Met",24.0,"Cali Met","Cali Met","Cali Met"
88,"761090","msa","Buenaventura",24.0,"Buenaventura","Buenaventura","Buenaventura"
89,"761110","msa","Guadalajara de Buga",24.0,"Guadalajara de Buga","Guadalajara de Buga","Guadalajara de Buga"
90,"761470","msa","Cartago",24.0,"Cartago","Cartago","Cartago"
91,"765200","msa","Palmira",24.0,"Palmira","Palmira","Palmira"
92,"768340","msa","Tuluá Met",24.0,"Tuluá Met","Tuluá Met","Tuluá Met"
93,"810010","msa","Arauca",25.0,"Arauca","Arauca","Arauca"
94,"850010","msa","Yopal",26.0,"Yopal","Yopal","Yopal"
95,"880010","msa","San Andrés",28.0,"San Andrés","San Andrés","San Andrés"
96,"05001","municipality","Medellín",1.0,"Medellín","Medellín","Medellín"
97,"05002","municipality","Abejorral",1.0,"Abejorral","Abejorral","Abejorral"
98,"05004","municipality","Abriaquí",1.0,"Abriaquí","Abriaquí","Abriaquí"
99,"05021","municipality","Alejandría",1.0,"Alejandría","Alejandría","Alejandría"
100,"05030","municipality","Amagá",1.0,"Amagá","Amagá","Amagá"
101,"05031","municipality","Amalfi",1.0,"Amalfi","Amalfi","Amalfi"
102,"05034","municipality","Andes",1.0,"Andes","Andes","Andes"
103,"05036","municipality","Angelópolis",1.0,"Angelópolis","Angelópolis","Angelópolis"
104,"05038","municipality","Angostura",1.0,"Angostura","Angostura","Angostura"
105,"05040","municipality","Anorí",1.0,"Anorí","Anorí","Anorí"
106,"05042","municipality","Santa Fé De Antioquia",1.0,"Santa Fé De Antioquia","Santa Fé De Antioquia","Santa Fé De Antioquia"
107,"05044","municipality","Anzá",1.0,"Anzá","Anzá","Anzá"
108,"05045","municipality","Apartadó",1.0,"Apartadó","Apartadó","Apartadó"
109,"05051","municipality","Arboletes",1.0,"Arboletes","Arboletes","Arboletes"
110,"05055","municipality","Argelia",1.0,"Argelia","Argelia","Argelia"
111,"05059","municipality","Armenia",1.0,"Armenia","Armenia","Armenia"
112,"05079","municipality","Barbosa",1.0,"Barbosa","Barbosa","Barbosa"
113,"05086","municipality","Belmira",1.0,"Belmira","Belmira","Belmira"
114,"05088","municipality","Bello",1.0,"Bello","Bello","Bello"
115,"05091","municipality","Betania",1.0,"Betania","Betania","Betania"
116,"05093","municipality","Betulia",1.0,"Betulia","Betulia","Betulia"
117,"05101","municipality","Ciudad Bolívar",1.0,"Ciudad Bolívar","Ciudad Bolívar","Ciudad Bolívar"
118,"05107","municipality","Briceño",1.0,"Briceño","Briceño","Briceño"
119,"05113","municipality","Buriticá",1.0,"Buriticá","Buriticá","Buriticá"
120,"05120","municipality","Cáceres",1.0,"Cáceres","Cáceres","Cáceres"
121,"05125","municipality","Caicedo",1.0,"Caicedo","Caicedo","Caicedo"
122,"05129","municipality","Caldas",1.0,"Caldas","Caldas","Caldas"
123,"05134","municipality","Campamento",1.0,"Campamento","Campamento","Campamento"
124,"05138","municipality","Cañasgordas",1.0,"Cañasgordas","Cañasgordas","Cañasgordas"
125,"05142","municipality","Caracolí",1.0,"Caracolí","Caracolí","Caracolí"
126,"05145","municipality","Caramanta",1.0,"Caramanta","Caramanta","Caramanta"
127,"05147","municipality","Carepa",1.0,"Carepa","Carepa","Carepa"
128,"05148","municipality","El Carmen De Viboral",1.0,"El Carmen De Viboral","El Carmen De Viboral","El Carmen De Viboral"
129,"05150","municipality","Carolina",1.0,"Carolina","Carolina","Carolina"
130,"05154","municipality","Caucasia",1.0,"Caucasia","Caucasia","Caucasia"
131,"05172","municipality","Chigorodó",1.0,"Chigorodó","Chigorodó","Chigorodó"
132,"05190","municipality","Cisneros",1.0,"Cisneros","Cisneros","Cisneros"
133,"05197","municipality","Cocorná",1.0,"Cocorná","Cocorná","Cocorná"
134,"05206","municipality","Concepción",1.0,"Concepción","Concepción","Concepción"
135,"05209","municipality","Concordia",1.0,"Concordia","Concordia","Concordia"
136,"05212","municipality","Copacabana",1.0,"Copacabana","Copacabana","Copacabana"
137,"05234","municipality","Dabeiba",1.0,"Dabeiba","Dabeiba","Dabeiba"
138,"05237","municipality","Donmatías",1.0,"Donmatías","Donmatías","Donmatías"
139,"05240","municipality","Ebéjico",1.0,"Ebéjico","Ebéjico","Ebéjico"
140,"05250","municipality","El Bagre",1.0,"El Bagre","El Bagre","El Bagre"
141,"05264","municipality","Entrerríos",1.0,"Entrerríos","Entrerríos","Entrerríos"
142,"05266","municipality","Envigado",1.0,"Envigado","Envigado","Envigado"
143,"05282","municipality","Fredonia",1.0,"Fredonia","Fredonia","Fredonia"
144,"05284","municipality","Frontino",1.0,"Frontino","Frontino","Frontino"
145,"05306","municipality","Giraldo",1.0,"Giraldo","Giraldo","Giraldo"
146,"05308","municipality","Girardota",1.0,"Girardota","Girardota","Girardota"
