,alpha3,code,level,name,name_es,parent_id
123,MDG,450,country,Madagascar,Madagascar,251
124,MDV,461,country,Maldives,Maldivas,252
125,MEX,493,country,Mexico,MÃ©xico,257
126,MHL,472,country,Marshall Islands,"Marshall, Islas",253
127,MKD,448,country,Macedonia (the former Yugoslav Republic of),Macedonia,254
128,MLI,464,country,Mali,MalÃ_,251
129,MLT,467,country,Malta,Malta,254
130,MMR,93,country,Myanmar,Myanmar,252
131,MNE,500,country,Montenegro,Montenegro,254
132,MNG,497,country,Mongolia,Mongolia,252
133,MNP,469,country,Northern Mariana Islands,"Marianas septentrionales, islas",253
134,MOZ,505,country,Mozambique,Mozambique,251
135,MRT,488,country,Mauritania,Mauritania,251
136,MSR,501,country,Montserrat,"Montserrat, Isla",258
137,MTQ,477,country,Martinique,Martinica,258
138,MUS,485,country,Mauritius,Mauricio,251
139,MWI,458,country,Malawi,Malawi,251
140,MYS,455,country,Malaysia,Malasia,252
141,NAM,507,country,Namibia,Namibia,251
142,NCL,542,country,New Caledonia,Nueva Caledonia,253
143,NER,525,country,Niger,NÃ_ger,251
144,NFK,535,country,Norfolk Island,"Norfolk, Isla",253
145,NGA,528,country,Nigeria,Nigeria,251
146,NIC,521,country,Nicaragua,Nicaragua,257
147,NIU,531,country,Niue,"Niue, Isla",253
148,NOR,538,country,Norway,Noruega,254
149,NPL,517,country,Nepal,Nepal,252
150,NRU,508,country,Nauru,Nauru,253
151,NZL,548,country,New Zealand,Nueva Zelanda,253
152,OMN,556,country,Oman,OmÃ¡n,252
153,PAK,576,country,Pakistan,PakistÃ¡n,252
154,PAN,580,country,Panama,PanamÃ¡,257
155,PCN,593,country,Pitcairn,"Pitcairn, Isla",253
156,PER,589,country,Peru,PerÃº,256
157,PHL,267,country,Philippines,Filipinas,252
158,PLW,578,country,Palau,"Palau, Islas",253
159,PNG,545,country,Papua New Guinea,PapÃºa Nueva Guinea,253
160,POL,603,country,Poland,Polonia,254
161,PRI,611,country,Puerto Rico,Puerto Rico,258
162,PRK,187,country,Korea (Democratic People's Republic of),"Corea (Norte), RepÃºblica  Popular DemocrÃ¡tica",252
163,PRT,607,country,Portugal,Portugal,254
164,PRY,586,country,Paraguay,Paraguay,256
165,PSE,579,country,"Palestine, State of",Estado de Palestina,252
166,PYF,599,country,French Polynesia,Polinesia Francesa,253
167,QAT,618,country,Qatar,Qatar,252
168,REU,660,country,RÃ©union,ReuniÃ_n,251
169,RUS,676,country,Russian Federation,Rusia,254
170,RWA,675,country,Rwanda,Ruanda,251
171,SAU,53,country,Saudi Arabia,Arabia Saudita,252
172,SDN,759,country,Sudan,SudÃ¡n,251
173,SEN,728,country,Senegal,Senegal,251
174,SGP,741,country,Singapore,Singapur,252
175,SHN,710,country,"Saint Helena, Ascension and Tristan da Cunha",Santa Elena,251
176,SJM,772,country,Svalbard and Jan Mayen,"Svalbard Y Jan mayen, islas",254
177,SLB,677,country,Solomon Islands,"SalomÃ_n, Islas",253
178,SLE,735,country,Sierra Leone,Sierra Leona,251
179,SLV,242,country,El Salvador,El Salvador,257
180,SMR,697,country,San Marino,San Marino,254
181,SOM,748,country,Somalia,Somalia,251
182,SPM,700,country,Saint Pierre and Miquelon,San Pedro y MiguelÃ_n,255
183,SRB,729,country,Serbia,Serbia,254
184,STP,720,country,Sao Tome and Principe,Santo TomÃ© y PrÃ_ncipe,251
185,SUR,770,country,Suriname,Surinam,256
186,SVK,246,country,Slovakia,Eslovaquia,254
187,SVN,247,country,Slovenia,Eslovenia,254
188,SWE,764,country,Sweden,Suecia,254
189,SWZ,773,country,Swaziland,Swazilandia,251
190,SYC,731,country,Seychelles,Seychelles,251
191,SYR,744,country,Syrian Arab Republic,"Siria, RepÃºblica ÃÅrabe de",252
192,TCA,823,country,Turks and Caicos Islands,"Turcas y Caicos, Islas",258
193,TCD,203,country,Chad,Chad,251
194,TGO,800,country,Togo,Togo,251
195,THA,776,country,Thailand,Tailandia,252
196,TJK,774,country,Tajikistan,TayikistÃ¡n,252
197,TKL,805,country,Tokelau,Tokelau,253
198,TKM,825,country,Turkmenistan,TurkmenistÃ¡n,252
199,TON,810,country,Tonga,Tonga,253
200,TTO,815,country,Trinidad and Tobago,Trinidad y Tobago,258
201,TUN,820,country,Tunisia,TÃºnez,251
202,TUR,827,country,Turkey,TurquÃ_a,252
203,TUV,828,country,Tuvalu,Tuvalu,253
204,TWN,218,country,"Taiwan, Province of China",Taiwan,252
205,TZA,780,country,"Tanzania, United Republic of","Tanzania, RepÃºblica Unida de",251
206,UGA,833,country,Uganda,Uganda,251
207,UKR,830,country,Ukraine,Ucrania,254
208,URY,845,country,Uruguay,Uruguay,256
209,USA,249,country,United States of America,Estados Unidos,255
210,UZB,847,country,Uzbekistan,Uzbekistan,252
211,VCT,705,country,Saint Vincent and the Grenadines,San Vicente y las Granadinas,258
212,VEN,850,country,Venezuela (Bolivarian Republic of),"Venezuela,Republica Bolivariana",256
213,VGB,863,country,Virgin Islands (British),"Virgenes Britanicas, Islas",258
214,VIR,866,country,Virgin Islands (U.S.),"Virgenes de los Estados Unidos,islas",258
215,VNM,855,country,Viet Nam,Viet Nam,252
216,VUT,551,country,Vanuatu,Vanuatu,253
217,WLF,875,country,Wallis and Futuna,"Wallis y Futuna, Islas",253
218,WSM,687,country,Samoa,Samoa,253
219,YEM,880,country,Yemen,Yemen,252
220,ZAF,756,country,South Africa,"SudÃ¡frica, RepÃºblica de",251
221,ZMB,890,country,Zambia,Zambia,251
222,ZWE,665,country,Zimbabwe,Zimbabwe,251
223,ALA,15,country,Ã…land Islands,"Aland,islas",254
224,ASM,690,country,American Samoa,Samoa Americana,253
225,ATA,24,country,Antarctica,Antartida,259
226,ATF,786,country,French Southern Territories,Territorios Franceses del Sur,259
227,BES,98,country,"Bonaire, Sint Eustatius and Saba","Bonaire,San Eustatius y Saba",258
228,BLM,693,country,Saint BarthÃ©lemy,San Bartolome,254
229,BVT,102,country,Bouvet Island,"Bouvet,isla",259
230,CUW,200,country,CuraÃ§ao,Curazao,258
231,CXR,511,country,Christmas Island,"Navidad (Christmas),Isla",252
232,FRO,259,country,Faroe Islands,"Feroe, Islas",254
233,FSM,494,country,Micronesia (Federated States of),"Micronesia, Estados Federa de",253
234,GGY,327,country,Guernsey,Guernsey,254
235,HMD,343,country,Heard Island and McDonald Islands,"Heard y Mc Donald,islas",259
236,IMN,468,country,Isle of Man,"Man,isla de",254
237,IOT,787,country,British Indian Ocean Territory,Territorio BritÃ¡nico OcÃ©ano Indico,252
238,JEY,401,country,Jersey,Jersey,254
239,MAF,698,country,Saint Martin (French part),San Martin (Parte francesa),258
240,MYT,489,country,Mayotte,Mayote,251
241,NLD,573,country,Netherlands,PaÃ_ses Bajos,254
242,ROU,670,country,Romania,Rumania,254
243,SCG,688,country,Serbia and Montenegro,Serbia y Montenegro,254
244,SSD,760,country,South Sudan,Sudan del Sur,251
245,SXM,699,country,Sint Maarten (Dutch part),San Martin (Parte Holandesa),258
246,TLS,788,country,Timor-Leste,Timor del Este,252
247,UMI,566,country,United States Minor Outlying Islands,Islas Ultramarinas Menores de los estados uni,253
248,VAT,159,country,Holy See,Santa Sede,254
249,ZZZ,999,country,Not Declared,No Declarados,259
250,XCF,XCF,country,Special Economic Zones,Zonas Francas,259
251,,1,region,Africa,ÃÅfrica,
252,,2,region,Asia,Asia,
253,,3,region,Oceania,OceanÃ_a,
254,,4,region,Europe,Europa,
255,,5,region,North America,AmÃ©rica del norte,
256,,6,region,South America,AmÃ©rica del sur,
257,,7,region,Central America ,CentroamÃ©rica,
258,,8,region,Carribean,Caribe,
259,,9,region,Other,Otros,
