code	level	name_en	name_short_en	name_es	name_short_es	Unnamed: 6
LIMON MANDARINO	level3	Volkamer Lemon	Volkamer Lemon	Limon Mandarino	Limon Mandarino	
LIMON PAJARITO	level3	Pajarito Lemon	Pajarito Lemon	Limon Pajarito	Limon Pajarito	
LIMON TAHITI	level3	Tahiti Lime	Tahiti LIme	Limon Tahiti	Limon Tahiti	
MANDARINA	level3	Mandarin	Mandarin	Mandarina	Mandarina	
MANDARINA CLEMENTINA	level3	Clementine	Clementine	Mandarina Clementina	Mandarina Clementina	
MANDARINA ONECO	level3	Oneco Mandarin	Oneco Mandarin	Mandarina Oneco	Mandarina Oneco	
NARANJA	level3	Orange	Orange	Naranja	Naranja	
NARANJA JAFFA	level3	Jaffa Orange	Jaffa Orange	Naranja Jaffa	Naranja Jaffa	
NARANJA SALUSTIANA	level3	Salustiana Orange	Salustiana Orange	Naranja Salustiana	Naranja Salustiana	
NARANJA VALENCIA	level3	Valencia Orange	Valencia Orange	Naranja Valencia	Naranja Valencia	
NARANJA WASHINGTON NAVEL	level3	Washington Navel Orange	Washington Navel Orange	Naranja Washington Navel	Naranja Washington Navel	
POMELO	level3	Pomelo	Pomelo	Pomelo	Pomelo	
TANGELO MINEOLA	level3	Mineola Tangelo 	Tangelo Mineola	Tangelo Mineola	Tangelo Mineola	
TANGELO ORLANDO	level3	Orlando Tangelo	Tangelo Orlando	Tangelo Orlando	Tangelo Orlando	
TORONJA	level3	Grapefruit	Grapefruit	Toronja	Toronja	
COCO	level3	Coconut	Coconut	Coco	Coco	
CURUBA	level3	Banana passionfruit	Banana passionfruit	Curuba	Curuba	
ESPARTO	level3	Esparto grass	Esparto grass	Esparto	Esparto	
ESTROPAJO	level3	Scourer	Scourer	Estropajo	Estropajo	
FEIJOA	level3	Pinapple guava	Pinapple guava	Feijoa	Feijoa	
FIQUE	level3	Fique fiber	Fique fiber	Fique	Fique	
ANTURIO	level3	Laceleaf	Laceleaf	Anturio	Anturio	
ASTROMELIA	level3	Astromelia	Astromelia	Astromelia	Astromelia	
CARTUCHO-ASTROMELIA	level3	Cartucho-Astromelia	Cartucho-Astromelia	Cartucho-Astromelia	Cartucho-Astromelia	
CLAVEL	level3	Carnation	Carnation	Clavel	Clavel	
GIRASOL	level3	Sunflower	Sunflower	Girasol	Girasol	
GLADIOLO	level3	Gladiolus	Gladiolus	Gladiolo	Gladiolo	
HELICONIA	level3	Heliconia	Heliconia	Heliconia	Heliconia	
HORTENSIA	level3	Hortensia	Hortensia	Hortensia	Hortensia	
ORQUIDEA	level3	Orchid	Orchid	Orquidea	Orquidea	
