level2	level1	level0
En reposo	AgrÂ’colas y/o precuarias	Total
Pastos	AgrÂ’colas y/o precuarias	Total
Barbecho	AgrÂ’colas y/o precuarias	Total
Infrastructura agrÂ’cola	AgrÂ’colas y/o precuarias	Total
Cultivos	AgrÂ’colas y/o precuarias	Total
Rastrojo	AgrÂ’colas y/o precuarias	Total
Ni agrÂ’colas ni pecuarias	Ni agrÂ’colas ni pecuarias	Total
Bosques	Bosques	Total
Otros	Otros	Total
