code	level	name_en	name_short_en	name_es	name_short_es
total	level0	Total	Total	Total	Total
With agriculture activities	level1	With agriculture activities	Farms with ag. activities	Con actividades agrícolas	Con actividades agrícolas
With non agriculture activities	level1	With non agriculture activities	Farms with non ag. activities	Con actividades no agrícolas	Con actividades no agrícolas
With agriculture activities owned by a resident natural person	level2	With agriculture activities owned by a resident natural person	With agriculture activities owned by a resident natural person	Con actividades agrícolas pertenecientes a personas naturales residentes	Con actividades agrícolas pertenecientes a personas naturales residentes
With agriculture activities owned by others	level2	With agriculture activities owned by others	With agriculture activities owned by others	Con actividades agrí­colas pertenecientes a otros	Con actividades agrí­colas pertenecientes a otros
With agriculture activities owned by a non resident natural person	level2	With agriculture activities owned by a non resident natural person	With agriculture activities owned by a non resident natural person	Con actividades agrí­colas pertenecientes a personas naturales no residentes	Con actividades agrí­colas pertenecientes a personas naturales no residentes
With non agriculture activities	level2	With non agriculture activities	Farms with non ag. activities	Con actividades no agrícolas	Con actividades no agrícolas
