level2	level1	level0
With agriculture activities owned by a resident natural person	With agriculture activities	total
With agriculture activities owned by others	With agriculture activities	total
With agriculture activities owned by a non resident natural person	With agriculture activities	total
With non agriculture activities	With non agriculture activities	total
