"","code","name","level","parent_id"
81,"199","Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente","3digit",80.0
82,"1999","Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente","4digit",81.0
83,"2","Profesionistas y técnicos","1digit",""
84,"21","Administradores y mercadólogos","2digit",83.0
85,"211","Administradores y mercadólogos","3digit",84.0
86,"2111","Administradores y especialistas en recursos humanos y sistemas de gestión","4digit",85.0
87,"2112","Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior","4digit",85.0
88,"2113","Especialistas en hotelería y turismo","4digit",85.0
89,"212","Contadores, auditores, especialistas en finanzas y en economía","3digit",84.0
90,"2121","Contadores y auditores","4digit",89.0
91,"2122","Asesores y analistas en finanzas","4digit",89.0
92,"2123","Economistas, consultores e investigadores en política económica","4digit",89.0
93,"213","Investigadores y especialistas en ciencias sociales","3digit",84.0
94,"2131","Antropólogos, arqueólogos e historiadores","4digit",93.0
95,"2132","Investigadores y especialistas en sociología y desarrollo social","4digit",93.0
96,"2133","Investigadores y especialistas en ciencias políticas y administración pública","4digit",93.0
97,"2134","Geógrafos","4digit",93.0
98,"2135","Abogados","4digit",93.0
99,"214","Investigadores y especialistas en ciencias humanistas","3digit",84.0
100,"2141","Investigadores y especialistas en filosofía y letras (filólogos)","4digit",99.0
101,"2142","Psicólogos","4digit",99.0
102,"2143","Especialistas en trabajo social","4digit",99.0
103,"2144","Especialistas en archivonomía, biblioteconomía y museografía","4digit",99.0
104,"2145","Sacerdotes, pastores y otros teólogos","4digit",99.0
105,"215","Autores, periodistas y traductores","3digit",84.0
106,"2151","Escritores y críticos literarios","4digit",105.0
107,"2152","Periodistas y redactores","4digit",105.0
108,"2153","Traductores e intérpretes","4digit",105.0
109,"216","Pintores, diseñadores y dibujantes artísticos, escultores y escenógrafos","3digit",84.0
110,"2161","Pintores","4digit",109.0
111,"2162","Dibujantes y diseñadores artísticos, ilustradores y grabadores","4digit",109.0
112,"2163","Escultores","4digit",109.0
113,"2164","Escenógrafos","4digit",109.0
114,"217","Artistas interpretativos","3digit",84.0
115,"2171","Compositores y arreglistas","4digit",114.0
116,"2172","Músicos","4digit",114.0
117,"2173","Cantantes","4digit",114.0
118,"2174","Bailarines y coreógrafos","4digit",114.0
119,"2175","Actores","4digit",114.0
120,"22","Investigadores y especialistas en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones","2digit",83.0
121,"221","Investigadores y especialistas en física, matemáticas, estadística y actuaría","3digit",120.0
122,"2211","Investigadores y especialistas en física","4digit",121.0
123,"2212","Investigadores y especialistas en matemáticas, estadística y actuaría","4digit",121.0
124,"222","Investigadores y especialistas en ciencias biológicas, químicas y del medio ambiente","3digit",120.0
125,"2221","Biólogos y especialistas en ciencias del mar y oceanógrafos","4digit",124.0
126,"2222","Químicos","4digit",124.0
127,"2223","Ecólogos y especialistas en ciencias atmosféricas","4digit",124.0
128,"223","Especialistas en ciencias agronómicas","3digit",120.0
129,"2231","Agrónomos","4digit",128.0
130,"2232","Veterinarios y zootecnistas","4digit",128.0
131,"2233","Especialistas en forestación","4digit",128.0
132,"2234","Especialistas en pesca y en acuacultura","4digit",128.0
133,"224","Ingenieros eléctricos y en electrónica","3digit",120.0
134,"2241","Ingenieros eléctricos","4digit",133.0
135,"2242","Ingenieros electrónicos","4digit",133.0
136,"225","Ingenieros químicos, mecánicos, industriales, mineros y metalúrgicos","3digit",120.0
137,"2251","Ingenieros químicos","4digit",136.0
138,"2252","Ingenieros mecánicos","4digit",136.0
139,"2253","Ingenieros industriales","4digit",136.0
140,"2254","Ingenieros en minas, metalurgia y petróleo","4digit",136.0
141,"226","Ingenieros civiles, topógrafos y arquitectos","3digit",120.0
142,"2261","Ingenieros civiles y de la construcción","4digit",141.0
143,"2262","Ingenieros en topografía, hidrología, geología y geodesia","4digit",141.0
144,"2263","Arquitectos, planificadores urbanos y del transporte","4digit",141.0
145,"227","Investigadores y especialistas en sistemas computacionales","3digit",120.0
146,"2271","Desarrolladores y analistas de software y multimedia","4digit",145.0
147,"2272","Administradores de bases de datos y redes de computadora","4digit",145.0
148,"228","Ingenieros en comunicaciones y telecomunicaciones","3digit",120.0
149,"2281","Ingenieros en comunicaciones y telecomunicaciones","4digit",148.0
150,"23","Profesores y especialistas en docencia","2digit",83.0
151,"231","Supervisores educativos y especialistas en ciencias de la educación","3digit",150.0
152,"2311","Supervisores e inspectores educativos","4digit",151.0
153,"2312","Pedagogos, orientadores educativos y otros especialistas en ciencias educativas","4digit",151.0
154,"232","Profesores de nivel medio y superior","3digit",150.0
155,"2321","Profesores universitarios y de enseñanza superior","4digit",154.0
156,"2322","Profesores de preparatoria y equivalentes","4digit",154.0
157,"233","Profesores de nivel básico","3digit",150.0
158,"2331","Profesores de enseñanza secundaria","4digit",157.0
159,"2332","Profesores de enseñanza primaria","4digit",157.0
160,"2333","Alfabetizadores","4digit",157.0
161,"2334","Profesores de enseñanza bilingüe (indígena)","4digit",157.0
162,"2335","Profesores de enseñanza preescolar","4digit",157.0
163,"2339","Otros profesores de nivel básico, no clasificados anteriormente","4digit",157.0
164,"234","Profesores en enseñanza especial","3digit",150.0
165,"2341","Profesores de personas con problemas de audición y lenguaje","4digit",164.0
166,"2342","Profesores de personas con problemas de aprendizaje","4digit",164.0
167,"2343","Otros profesores de enseñanza especial","4digit",164.0
168,"239","Otros profesores y especialistas en docencia, no clasificados anteriormente","3digit",150.0
169,"2391","Otros profesores y especialistas en docencia, no clasificados anteriormente","4digit",168.0
170,"24","Médicos, enfermeras y otros especialistas en salud","2digit",83.0
171,"241","Médicos generales y especialistas","3digit",170.0
172,"2411","Médicos generales y familiares","4digit",171.0
173,"2412","Médicos especialistas","4digit",171.0
174,"2413","Dentistas","4digit",171.0
175,"242","Otros especialistas en salud","3digit",170.0
176,"2421","Ingenieros biomédicos","4digit",175.0
177,"2422","Optometristas","4digit",175.0
178,"2423","Nutriólogos","4digit",175.0
